run_id,N,truth,rival,rival_response_share,a_T,a_R,mean_truth_share,prob_correct_consensus,prob_wrong_consensus,prob_polarization,observed_endpoint_accuracy,observed_outcome,truth_count,rival_count,valid_count
N4/all_gpt_4o/seed_0018,4,Cote d'Ivoire,Nigeria,0.57,0.19350000000000003,0.2565,0.45777608202805,0.2698594245307955,0.3672887177143292,0.3628518577548749,0.0,wrong_consensus,86,114,200
N4/all_gpt_4o/seed_0027,4,Russia,Chad,0.605,0.17775000000000002,0.27225,0.4257037624605574,0.24477756347323684,0.4013181306661456,0.35390430586061705,1.0,correct_consensus,79,121,200
N4/all_gpt_4o/seed_0036,4,Guinea,Mali,0.74,0.117,0.333,0.3009268286449406,0.162206375191733,0.5521285338502666,0.28566509095799986,0.0,wrong_consensus,52,148,200
N4/all_gpt_4o/seed_0003,4,France,Peru,0.75,0.1125,0.3375,0.2916162678697037,0.15691884915979548,0.5646159652933289,0.2784651855468749,0.0,polarization,50,150,200
N4/all_gpt_4o/seed_0007,4,Guinea,Mali,0.75,0.1125,0.3375,0.2916162678697037,0.15691884915979548,0.5646159652933289,0.2784651855468749,0.0,wrong_consensus,50,150,200
N4/all_gpt_4o/seed_0013,4,Gabon,Ukraine,0.75,0.1125,0.3375,0.2916162678697037,0.15691884915979548,0.5646159652933289,0.2784651855468749,1.0,correct_consensus,50,150,200
N4/all_gpt_4o/seed_0037,4,Sierra Leone,Russia,0.75,0.1125,0.3375,0.2916162678697037,0.15691884915979548,0.5646159652933289,0.2784651855468749,0.0,wrong_consensus,50,150,200
N4/all_gpt_4o/seed_0044,4,Italy,Nigeria,0.75,0.1125,0.3375,0.2916162678697037,0.15691884915979548,0.5646159652933289,0.2784651855468749,0.0,polarization,50,150,200
N4/all_gpt_4o/seed_0047,4,Hungary,Austria,0.75,0.1125,0.3375,0.2916162678697037,0.15691884915979548,0.5646159652933289,0.2784651855468749,0.25,polarization,50,150,200
N4/all_gpt_4o/seed_0052,4,Gabon,Ukraine,0.75,0.1125,0.3375,0.2916162678697037,0.15691884915979548,0.5646159652933289,0.2784651855468749,0.0,wrong_consensus,50,150,200
N4/all_gpt_4o/seed_0041,4,Ireland,Nigeria,0.795,0.09224999999999998,0.35775,0.24960250869794012,0.13442407965636194,0.6232061802305205,0.2423697401131171,0.0,wrong_consensus,41,159,200
N8/all_gpt_4o/seed_0002,8,Austria,Yemen,0.0,0.45,0.0,0.9978015796270472,0.9978015796270472,0.0021984203729512757,0.0,1.0,correct_consensus,400,0,400
N8/all_gpt_4o/seed_0043,8,Austria,Yemen,0.0025,0.448875,0.0011250000000000001,0.9957266822993178,0.9938443198375214,0.0023753934845157218,0.003780286677961671,1.0,correct_consensus,399,1,400
N8/all_gpt_4o/seed_0051,8,France,Chad,0.0075,0.44662500000000005,0.003375,0.9915720340088231,0.9858768424527123,0.0027393191918490423,0.011383838355437468,1.0,correct_consensus,397,3,400
N8/all_gpt_4o/seed_0015,8,Estonia,Chad,0.015,0.44325,0.00675,0.9853278858814839,0.9738007775933405,0.0033108032157417367,0.02288841919091622,1.0,correct_consensus,394,6,400
N8/all_gpt_4o/seed_0039,8,Estonia,Yemen,0.105,0.40275,0.04725,0.9092315494405953,0.8215178112625268,0.013011049172681304,0.16547113956479065,1.0,correct_consensus,358,42,400
N8/all_gpt_4o/seed_0005,8,Peru,France,0.125,0.39375,0.05625,0.8920209440613636,0.7869101387151977,0.016018807307677352,0.1970710539771232,1.0,correct_consensus,350,50,400
N8/all_gpt_4o/seed_0004,8,France,Chad,0.1375,0.38812500000000005,0.061875000000000006,0.8812073310299515,0.7653166414434831,0.01808514182908196,0.21659821672743348,1.0,correct_consensus,345,55,400
N8/all_gpt_4o/seed_0034,8,Mali,Guinea,0.145,0.38475,0.06525,0.8746979356953837,0.7523920531832518,0.019397581752758106,0.2282103650639889,0.625,polarization,342,58,400
N8/all_gpt_4o/seed_0049,8,Belgium,Chad,0.1975,0.36112500000000003,0.08887500000000001,0.8286792021262268,0.6631900064342983,0.030261205131136698,0.3065487884345638,0.25,polarization,321,79,400
N8/all_gpt_4o/seed_0010,8,Nigeria,France,0.25,0.3375,0.1125,0.7818479994318196,0.5775919788997225,0.04449425472138623,0.3779137663788898,1.0,correct_consensus,300,100,400
N8/all_gpt_4o/seed_0033,8,Nigeria,France,0.25,0.3375,0.1125,0.7818479994318196,0.5775919788997225,0.04449425472138623,0.3779137663788898,1.0,correct_consensus,300,100,400
N8/all_gpt_4o/seed_0042,8,Russia,Chad,0.25,0.3375,0.1125,0.7818479994318196,0.5775919788997225,0.04449425472138623,0.3779137663788898,1.0,correct_consensus,300,100,400
N8/all_gpt_4o/seed_0003,8,France,Chad,0.255,0.33525,0.11475,0.7773444901817694,0.569686288228417,0.04604886369427115,0.38426484807731054,1.0,correct_consensus,298,102,400
N8/all_gpt_4o/seed_0032,8,Belgium,Chad,0.26,0.333,0.117,0.7728333319236861,0.561828192825932,0.04764050667566989,0.39053130049839707,1.0,correct_consensus,296,104,400
N8/all_gpt_4o/seed_0009,8,Lithuania,Bulgaria,0.27,0.3285,0.12150000000000001,0.763787969629045,0.5462587374971177,0.05093726754409422,0.4028039949587866,0.625,polarization,292,108,400
N8/all_gpt_4o/seed_0027,8,Russia,Chad,0.3025,0.313875,0.136125,0.7341761575119471,0.49708696703668676,0.06274938991697289,0.4401636430463393,1.0,correct_consensus,279,121,400
N8/all_gpt_4o/seed_0038,8,Russia,Armenia,0.325,0.30375,0.14625000000000002,0.7134809176475515,0.46440724900417923,0.07197634990270903,0.46361640109311064,0.375,polarization,270,130,400
N8/all_gpt_4o/seed_0024,8,Ukraine,Chad,0.3425,0.295875,0.154125,0.6972727496727916,0.43980276191207607,0.0797888746323756,0.48040836345554677,1.0,correct_consensus,263,137,400
N8/all_gpt_4o/seed_0006,8,Nigeria,France,0.375,0.28125,0.16875,0.6669081641836383,0.3960698116615015,0.09587485126127125,0.5080553370772259,1.0,correct_consensus,250,150,400
N8/all_gpt_4o/seed_0045,8,Gabon,Nigeria,0.375,0.28125,0.16875,0.6669081641836383,0.3960698116615015,0.09587485126127125,0.5080553370772259,1.0,correct_consensus,250,150,400
N8/all_gpt_4o/seed_0040,8,Lithuania,Bulgaria,0.395,0.27225,0.17775000000000002,0.6480493522808038,0.3704578932042418,0.106856485580169,0.5226856212155883,0.0,polarization,242,158,400
N8/all_gpt_4o/seed_0050,8,Luxembourg,Yemen,0.42,0.26100000000000007,0.189,0.6242875540300264,0.3398625888993882,0.1218195010781794,0.5383179100224302,0.0,polarization,232,168,400
N8/all_gpt_4o/seed_0023,8,Germany,Yemen,0.495,0.22725,0.22275,0.5517152889641546,0.25761364278571874,0.17573387742422097,0.5666524797900593,0.375,polarization,202,198,400
N8/all_gpt_4o/seed_0020,8,Yemen,Estonia,0.5275,0.212625,0.237375,0.5196513126893118,0.22636817902951892,0.20369843941499918,0.5699333815554806,0.25,polarization,189,211,400
N8/all_gpt_4o/seed_0001,8,Chad,Mali,0.57,0.19350000000000003,0.2565,0.477142130293498,0.18938884666047365,0.24485844124673625,0.5657527120927889,1.0,correct_consensus,172,228,400
N8/all_gpt_4o/seed_0035,8,Netherlands,Yemen,0.6225,0.16987499999999997,0.280125,0.4237006847344715,0.1495094496788264,0.30336096394533385,0.5471295863758385,0.0,polarization,151,249,400
N8/all_gpt_4o/seed_0008,8,France,Peru,0.625,0.16875,0.28125,0.4211297089813515,0.1477636610742143,0.3063669805787588,0.5458693583470255,0.0,polarization,150,250,400
N8/all_gpt_4o/seed_0018,8,Cote d'Ivoire,Nigeria,0.66,0.153,0.29700000000000004,0.3848819924429798,0.12471932087401735,0.3506220703811621,0.5246586087448193,0.25,polarization,136,264,400
N8/all_gpt_4o/seed_0014,8,Bulgaria,Hungary,0.69,0.13950000000000004,0.3105,0.3534300052905208,0.10696340187495369,0.39184385821108686,0.5011927399139579,1.0,correct_consensus,124,276,400
N8/all_gpt_4o/seed_0013,8,Gabon,Ukraine,0.705,0.13275000000000003,0.31725,0.3375695095102776,0.09874309680937476,0.4136148350528635,0.4876420681377603,0.25,polarization,118,282,400
N8/all_gpt_4o/seed_0007,8,Guinea,Mali,0.7375,0.11812499999999998,0.33187500000000003,0.30289280351928854,0.0823600702917845,0.46347107927470105,0.4541688504335129,0.5,polarization,105,295,400
N8/all_gpt_4o/seed_0036,8,Guinea,Mali,0.7425,0.11587499999999998,0.334125,0.2975196060219136,0.08000661374173157,0.4714691237217182,0.44852426253654915,0.375,polarization,103,297,400
N8/all_gpt_4o/seed_0047,8,Hungary,Austria,0.75,0.1125,0.3375,0.2894404824297907,0.07655717617639138,0.4836304658809827,0.4398123579426244,0.0,polarization,100,300,400
N8/all_gpt_4o/seed_0052,8,Gabon,Ukraine,0.75,0.1125,0.3375,0.2894404824297907,0.07655717617639138,0.4836304658809827,0.4398123579426244,0.375,polarization,100,300,400
N8/all_gpt_4o/seed_0041,8,Ireland,Nigeria,0.7725,0.10237500000000002,0.347625,0.2650630106508196,0.06677473769344834,0.5212968081615977,0.41192845414495316,0.0,wrong_consensus,91,309,400
N8/all_gpt_4o/seed_0037,8,Sierra Leone,Russia,0.8725,0.057374999999999975,0.39262500000000006,0.15411166323195677,0.032526765681819725,0.7097470963824671,0.25772613793571203,0.0,wrong_consensus,51,349,400
N8/all_gpt_4o/seed_0044,8,Italy,Nigeria,0.875,0.05625,0.39375,0.15128203216727917,0.031843014964816764,0.7148818001428744,0.2532751848923077,0.0,wrong_consensus,50,350,400
N16/all_gpt_4o/seed_0043,16,Austria,Yemen,0.00375,0.4483125,0.0016875,0.9970722402891792,0.9950959115381244,1.1173635412337373e-05,0.004892914826463993,1.0,correct_consensus,797,3,800
N16/all_gpt_4o/seed_0002,16,Austria,Yemen,0.0075,0.44662500000000005,0.003375,0.9941482565636096,0.9899746546143461,1.5542026483855295e-05,0.010009803359170568,1.0,correct_consensus,794,6,800
N16/all_gpt_4o/seed_0015,16,Estonia,Chad,0.0175,0.44212500000000005,0.007875000000000002,0.986334615771126,0.9752747241068759,2.873795551758542e-05,0.02469653793760674,1.0,correct_consensus,786,14,800
N16/all_gpt_4o/seed_0050,16,Luxembourg,Ukraine,0.07,0.4185,0.03150000000000001,0.9449094149424997,0.8779054064316395,0.0001520955782837583,0.12194249799007703,0.0,polarization,744,56,800
N16/all_gpt_4o/seed_0051,16,France,Chad,0.07,0.4185,0.03150000000000001,0.9449094149424997,0.8779054064316395,0.0001520955782837583,0.12194249799007703,1.0,correct_consensus,744,56,800
N16/all_gpt_4o/seed_0010,16,Nigeria,France,0.125,0.39375,0.05625,0.900738793045015,0.7534154666845575,0.0004601807519884833,0.2461243525634535,1.0,correct_consensus,700,100,800
N16/all_gpt_4o/seed_0014,16,Bulgaria,Nigeria,0.125,0.39375,0.05625,0.900738793045015,0.7534154666845575,0.0004601807519884833,0.2461243525634535,1.0,correct_consensus,700,100,800
N16/all_gpt_4o/seed_0004,16,France,Chad,0.1325,0.39037499999999997,0.059625000000000004,0.8946504907779315,0.7356145012450717,0.0005253796680468944,0.2638601190868819,1.0,correct_consensus,694,106,800
N16/all_gpt_4o/seed_0034,16,Mali,Guinea,0.14375,0.3853125,0.0646875,0.8854876127647289,0.7087767874773372,0.0006371977417980162,0.2905860147808653,0.3125,polarization,685,115,800
N16/all_gpt_4o/seed_0039,16,Estonia,Yemen,0.14875,0.38306250000000003,0.0669375,0.881403353919437,0.6968221811381913,0.0006928330215307053,0.30248498584027794,1.0,correct_consensus,681,119,800
N16/all_gpt_4o/seed_0027,16,Russia,Chad,0.1825,0.367875,0.082125,0.8536383517160259,0.6164870742992511,0.0011849228919832721,0.38232800280876633,1.0,correct_consensus,654,146,800
N16/all_gpt_4o/seed_0005,16,Peru,Nigeria,0.1875,0.36562500000000003,0.084375,0.8494952481115495,0.6047306998683287,0.0012781799902595566,0.3939911201414129,1.0,correct_consensus,650,150,800
N16/all_gpt_4o/seed_0006,16,Nigeria,France,0.1875,0.36562500000000003,0.084375,0.8494952481115495,0.6047306998683287,0.0012781799902595566,0.3939911201414129,1.0,correct_consensus,650,150,800
N16/all_gpt_4o/seed_0033,16,Nigeria,France,0.1875,0.36562500000000003,0.084375,0.8494952481115495,0.6047306998683287,0.0012781799902595566,0.3939911201414129,1.0,correct_consensus,650,150,800
N16/all_gpt_4o/seed_0038,16,Russia,Chad,0.18875,0.3650625,0.0849375,0.8484582455973771,0.6018005478219562,0.0013024409259411252,0.3968970112521024,1.0,correct_consensus,649,151,800
N16/all_gpt_4o/seed_0032,16,Belgium,Chad,0.1925,0.363375,0.08662500000000001,0.8453442781087073,0.5930332329275354,0.0013775787639310284,0.4055891883085345,1.0,correct_consensus,646,154,800
N16/all_gpt_4o/seed_0003,16,France,Chad,0.19625,0.3616875,0.0883125,0.842225849456645,0.5843027675802642,0.001456361435668784,0.4142408709840679,1.0,correct_consensus,643,157,800
N16/all_gpt_4o/seed_0042,16,Russia,Chad,0.2125,0.354375,0.095625,0.8286604326690525,0.5469597397274496,0.0018435880477751607,0.4511966722247755,1.0,correct_consensus,630,170,800
N16/all_gpt_4o/seed_0049,16,Belgium,Chad,0.25125,0.3369375,0.1130625,0.7959583543990516,0.4619921371030163,0.003136408717517671,0.5348714541794667,0.3125,polarization,599,201,800
N16/all_gpt_4o/seed_0024,16,Ukraine,Chad,0.27875,0.3245625,0.1254375,0.772433848744409,0.40599989239752327,0.004468161200676029,0.589531946401801,0.125,wrong_consensus,577,223,800
N16/all_gpt_4o/seed_0045,16,Gabon,Nigeria,0.375,0.28125,0.16875,0.6878289751162129,0.24358501185720471,0.013620040628112343,0.7427949475146842,0.75,fragmentation,500,300,800
N16/all_gpt_4o/seed_0040,16,Lithuania,Bulgaria,0.39,0.2745,0.17550000000000002,0.6742998638069085,0.2231393767162766,0.015961956509439747,0.7608986667742852,0.4375,polarization,488,312,800
N16/all_gpt_4o/seed_0009,16,Lithuania,Bulgaria,0.3975,0.271125,0.178875,0.6674981095471277,0.21339686585047823,0.01725635152053866,0.7693467826289826,0.625,polarization,482,318,800
N16/all_gpt_4o/seed_0001,16,Chad,Guinea,0.43375,0.2548125,0.1951875,0.6342612499133655,0.17067617032082838,0.024849601397241763,0.8044742282819312,1.0,correct_consensus,453,347,800
N16/all_gpt_4o/seed_0035,16,Netherlands,Austria,0.5,0.225,0.225,0.5718660343550547,0.10978375240359368,0.04610922175315803,0.844107025843249,0.0,polarization,400,400,800
N16/all_gpt_4o/seed_0020,16,Yemen,Austria,0.53625,0.2086875,0.2413125,0.5367449142164096,0.08464684198257302,0.06312422875632315,0.8522289292611037,0.6875,polarization,371,429,800
N16/all_gpt_4o/seed_0023,16,Germany,Yemen,0.5625,0.196875,0.253125,0.5108456559721142,0.06952206658876642,0.07846313887294899,0.8520147945382847,1.0,correct_consensus,350,450,800
N16/all_gpt_4o/seed_0052,16,Gabon,Ukraine,0.5625,0.196875,0.253125,0.5108456559721142,0.06952206658876642,0.07846313887294899,0.8520147945382847,0.1875,polarization,350,450,800
N16/all_gpt_4o/seed_0013,16,Gabon,Ukraine,0.57625,0.19068749999999998,0.2593125,0.49711573001426973,0.06252551137710738,0.0876511831803472,0.8498233054425457,0.3125,polarization,339,461,800
N16/all_gpt_4o/seed_0018,16,Cote d'Ivoire,Nigeria,0.5825,0.187875,0.262125,0.4908366326774856,0.059541447333254956,0.09211023653215875,0.8483483161345864,0.125,fragmentation,334,466,800
N16/all_gpt_4o/seed_0041,16,Ireland,Nigeria,0.60125,0.17943750000000003,0.2705625,0.47185267556640115,0.05128140644239849,0.10661401289814418,0.8421045806594583,0.125,fragmentation,319,481,800
N16/all_gpt_4o/seed_0008,16,France,Peru,0.625,0.16875,0.28125,0.4474812156420175,0.042195022873308695,0.12759608062147884,0.8302088965052135,0.3125,polarization,300,500,800
N16/all_gpt_4o/seed_0047,16,Hungary,Austria,0.6875,0.140625,0.309375,0.3814969015311675,0.024415097488181763,0.19891739110164208,0.7766675114101774,0.0,polarization,250,550,800
N16/all_gpt_4o/seed_0037,16,Sierra Leone,Russia,0.71625,0.12768749999999998,0.32231250000000006,0.3501804953355421,0.018637027593524147,0.2406980158384876,0.7406649565679895,0.0,polarization,227,573,800
N16/all_gpt_4o/seed_0007,16,Guinea,Mali,0.73875,0.1175625,0.3324375,0.32521890667344927,0.014947773813368004,0.2777977622040661,0.7072544639825658,1.0,correct_consensus,209,591,800
N16/all_gpt_4o/seed_0044,16,Italy,Nigeria,0.75,0.1125,0.3375,0.3125832692490125,0.0133422163284714,0.29786870339674476,0.6887890802747835,0.0,polarization,200,600,800
N16/all_gpt_4o/seed_0036,16,Guinea,Mali,0.805,0.08774999999999998,0.36225,0.24924184627306786,0.007371678731745646,0.4113204316958301,0.5813078895724253,0.5,polarization,156,644,800
N32/all_gpt_4o/seed_0043,32,Austria,Yemen,0.005625,0.44746875,0.00253125,0.9956800913777367,0.9971889992575319,8.52629480050329e-10,0.0028109998898295935,1.0,correct_consensus,1591,9,1600
N32/all_gpt_4o/seed_0002,32,Austria,Yemen,0.008125,0.44634375,0.00365625,0.9937579398446157,0.9956556329489938,1.2500402849712159e-09,0.004344365800955097,1.0,correct_consensus,1587,13,1600
N32/all_gpt_4o/seed_0015,32,Estonia,Chad,0.009375,0.44578125,0.00421875,0.9927963559466914,0.9948222610178847,1.4601348873980385e-09,0.005177737521970612,1.0,correct_consensus,1585,15,1600
N32/all_gpt_4o/seed_0010,32,Nigeria,France,0.09375,0.4078125,0.0421875,0.9270719286843664,0.8380555083308844,9.347127997467012e-08,0.16194439819782683,1.0,correct_consensus,1450,150,1600
N32/all_gpt_4o/seed_0036,32,Guinea,Chad,0.09375,0.4078125,0.0421875,0.9270719286843664,0.8380555083308844,9.347127997467012e-08,0.16194439819782683,1.0,correct_consensus,1450,150,1600
N32/all_gpt_4o/seed_0039,32,Estonia,Yemen,0.1025,0.403875,0.046125,0.9201594643424579,0.8124420600732267,1.3063343272313522e-07,0.18755780929333155,1.0,correct_consensus,1436,164,1600
N32/all_gpt_4o/seed_0027,32,Russia,Chad,0.166875,0.37490625,0.07509375,0.8686988016077107,0.6015008293373805,1.3054532843968595e-06,0.3984978652093264,1.0,correct_consensus,1333,267,1600
N32/all_gpt_4o/seed_0005,32,Peru,Austria,0.176875,0.37040625,0.07959375,0.8606050680799743,0.5678687797137545,1.8149266903996628e-06,0.4321294053595449,1.0,correct_consensus,1317,283,1600
N32/all_gpt_4o/seed_0006,32,Nigeria,France,0.1875,0.36562500000000003,0.084375,0.8519746796845769,0.5325814046581269,2.554465996371713e-06,0.4674160408758693,1.0,correct_consensus,1300,300,1600
N32/all_gpt_4o/seed_0033,32,Nigeria,France,0.1875,0.36562500000000003,0.084375,0.8519746796845769,0.5325814046581269,2.554465996371713e-06,0.4674160408758693,1.0,correct_consensus,1300,300,1600
N32/all_gpt_4o/seed_0004,32,France,Chad,0.193125,0.36309375,0.08690625,0.8473926167105589,0.5141590282890715,3.050800539544358e-06,0.4858379209103799,1.0,correct_consensus,1291,309,1600
N32/all_gpt_4o/seed_0024,32,Ukraine,Chad,0.195625,0.36196875000000006,0.08803125,0.8453532174221341,0.506039493851241,3.2988658528380337e-06,0.4939572072828973,1.0,correct_consensus,1287,313,1600
N32/all_gpt_4o/seed_0032,32,Belgium,Austria,0.2,0.36000000000000004,0.09000000000000001,0.8417799041423316,0.4919409620826461,3.7783979866459577e-06,0.5080552595193593,0.9375,correct_consensus,1280,320,1600
N32/all_gpt_4o/seed_0049,32,Belgium,Chad,0.220625,0.35071875,0.09928125,0.824858286564446,0.42769691334048116,7.0362499517916125e-06,0.5722960504095599,0.53125,polarization,1247,353,1600
N32/all_gpt_4o/seed_0038,32,Russia,Chad,0.223125,0.34959375,0.10040625,0.8227985257044319,0.4201908298752931,7.572172513446594e-06,0.5798015979521842,1.0,correct_consensus,1243,357,1600
N32/all_gpt_4o/seed_0042,32,Russia,Chad,0.23375,0.3448125,0.1051875,0.8140232537064954,0.38904779529593625,1.0297542506802968e-05,0.6109419071615484,1.0,correct_consensus,1226,374,1600
N32/all_gpt_4o/seed_0034,32,Mali,Austria,0.25,0.3375,0.1125,0.8005344266575681,0.34395625907970456,1.625440971995186e-05,0.6560274865105659,0.40625,polarization,1200,400,1600
N32/all_gpt_4o/seed_0051,32,France,Peru,0.28125,0.3234375,0.1265625,0.77435574077486,0.26660553304830903,3.7443749905886154e-05,0.733357023201774,0.78125,fragmentation,1150,450,1600
N32/all_gpt_4o/seed_0052,32,Gabon,Lithuania,0.2975,0.316125,0.133875,0.7606138571612641,0.2314362442898913,5.659886471981004e-05,0.76850715684538,0.15625,fragmentation,1124,476,1600
N32/all_gpt_4o/seed_0003,32,France,Peru,0.3125,0.309375,0.140625,0.7478476470493103,0.2020271460547912,8.191537800317351e-05,0.7978909385671977,0.65625,polarization,1100,500,1600
N32/all_gpt_4o/seed_0045,32,Gabon,Ukraine,0.35375,0.29081250000000003,0.1591875,0.7123185948622434,0.1355083793170926,0.0002147110628429593,0.8642769096200548,0.375,polarization,1034,566,1600
N32/all_gpt_4o/seed_0001,32,Chad,Guinea,0.373125,0.28209375000000003,0.16790625,0.6954062887637447,0.11091587860404256,0.00032937698529386325,0.8887547444106533,1.0,correct_consensus,1003,597,1600
N32/all_gpt_4o/seed_0009,32,Lithuania,Bulgaria,0.38875,0.27506250000000004,0.1749375,0.6816574047597221,0.09382951121703961,0.00046020855035045725,0.9057102802326025,0.5625,polarization,978,622,1600
N32/all_gpt_4o/seed_0008,32,France,Peru,0.40625,0.2671875,0.18281250000000002,0.6661378543230905,0.07732627978596257,0.0006622236839205528,0.9220114965301076,0.59375,polarization,950,650,1600
N32/all_gpt_4o/seed_0040,32,Lithuania,Bulgaria,0.420625,0.26071875,0.18928125,0.653290938987058,0.0656516010666293,0.0008857638174984507,0.9334626351158636,0.4375,polarization,927,673,1600
N32/all_gpt_4o/seed_0020,32,Yemen,Estonia,0.461875,0.24215625,0.20784375,0.6159047577888417,0.04008379673953915,0.0019644371017720225,0.9579517661586776,0.0,polarization,861,739,1600
N32/all_gpt_4o/seed_0014,32,Bulgaria,Hungary,0.4725,0.23737500000000003,0.21262499999999998,0.6061435477817404,0.035100139097362495,0.002390922745523913,0.9625089381571037,0.625,polarization,844,756,1600
N32/all_gpt_4o/seed_0018,32,Cote d'Ivoire,Nigeria,0.48875,0.2300625,0.2199375,0.591105025135575,0.028521151629864832,0.0032078954458914562,0.968270952924233,0.53125,polarization,818,782,1600
N32/all_gpt_4o/seed_0050,32,Luxembourg,Austria,0.5,0.225,0.225,0.580613766774148,0.02462481039611424,0.003914086280605318,0.9714611033232706,0.0,polarization,800,800,1600
N32/all_gpt_4o/seed_0013,32,Gabon,Ukraine,0.50125,0.2244375,0.2255625,0.5794439407650138,0.024222244649758383,0.004000681858682561,0.9717770734915475,0.34375,polarization,798,802,1600
N32/all_gpt_4o/seed_0041,32,Ireland,Cote d'Ivoire,0.51875,0.2165625,0.23343750000000002,0.5629775423941539,0.019165276065972164,0.005409701662237321,0.9754250222717807,0.0,polarization,770,830,1600
