agent_id,left,top,width,height,center_x,center_y,truth_count,rival_count,B_valid,rival_response_share
82,15,5,6,4,18.0,7.0,0,50,50,1.0
83,2,2,6,4,5.0,4.0,0,50,50,1.0
84,4,2,6,4,7.0,4.0,0,50,50,1.0
85,15,10,6,4,18.0,12.0,36,14,50,0.28
86,16,9,6,4,19.0,11.0,50,0,50,0.0
87,15,11,6,4,18.0,13.0,23,27,50,0.54
88,12,11,6,4,15.0,13.0,19,31,50,0.62
89,2,11,6,4,5.0,13.0,25,25,50,0.5
90,12,4,6,4,15.0,6.0,0,50,50,1.0
91,0,3,6,4,3.0,5.0,0,50,50,1.0
92,10,1,6,4,13.0,3.0,0,50,50,1.0
93,13,0,6,4,16.0,2.0,0,50,50,1.0
94,18,10,6,4,21.0,12.0,42,8,50,0.16
95,11,2,6,4,14.0,4.0,0,50,50,1.0
96,16,5,6,4,19.0,7.0,0,50,50,1.0
97,6,2,6,4,9.0,4.0,0,50,50,1.0
98,16,7,6,4,19.0,9.0,40,10,50,0.2
99,14,10,6,4,17.0,12.0,44,6,50,0.12
100,2,8,6,4,5.0,10.0,50,0,50,0.0
101,18,3,6,4,21.0,5.0,0,50,50,1.0
102,0,0,6,4,3.0,2.0,0,50,50,1.0
103,4,4,6,4,7.0,6.0,0,50,50,1.0
104,7,5,6,4,10.0,7.0,0,50,50,1.0
105,3,6,6,4,6.0,8.0,0,50,50,1.0
106,2,7,6,4,5.0,9.0,36,14,50,0.28
107,18,8,6,4,21.0,10.0,50,0,50,0.0
108,10,12,6,4,13.0,14.0,28,22,50,0.44
109,0,11,6,4,3.0,13.0,17,33,50,0.66
110,2,6,6,4,5.0,8.0,0,50,50,1.0
111,0,9,6,4,3.0,11.0,50,0,50,0.0
112,7,9,6,4,10.0,11.0,50,0,50,0.0
113,18,0,6,4,21.0,2.0,0,50,50,1.0
114,8,1,6,4,11.0,3.0,0,50,50,1.0
115,1,11,6,4,4.0,13.0,29,21,50,0.42
116,7,7,6,4,10.0,9.0,39,11,50,0.22
117,0,10,6,4,3.0,12.0,40,10,50,0.2
118,7,10,6,4,10.0,12.0,41,9,50,0.18
119,1,4,6,4,4.0,6.0,0,50,50,1.0
120,3,11,6,4,6.0,13.0,32,18,50,0.36
121,15,9,6,4,18.0,11.0,50,0,50,0.0
122,5,5,6,4,8.0,7.0,1,49,50,0.98
123,1,7,6,4,4.0,9.0,42,8,50,0.16
124,8,10,6,4,11.0,12.0,40,10,50,0.2
125,9,1,6,4,12.0,3.0,0,50,50,1.0
126,15,6,6,4,18.0,8.0,1,49,50,0.98
127,5,10,6,4,8.0,12.0,43,7,50,0.14
