run_id,N,seed,seed_name,truth,accuracy,outcome,top_country,top_share,second_country,second_share,final_time,final_interactions_per_agent,substantial_countries,terminal_valid_count,terminal_invalid_count,stored_legacy_outcome,path
N4/all_gpt_4o/seed_0013,4,13,seed_0013,Gabon,1.0,correct_consensus,Gabon,1.0,Armenia,0.0,60,15.0,Gabon,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0013
N4/all_gpt_4o/seed_0014,4,14,seed_0014,Bulgaria,1.0,correct_consensus,Bulgaria,1.0,Armenia,0.0,8,2.0,Bulgaria,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0014
N4/all_gpt_4o/seed_0015,4,15,seed_0015,Estonia,0.0,wrong_consensus,Chad,1.0,Armenia,0.0,40,10.0,Chad,4,0,wrong_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0015
N4/all_gpt_4o/seed_0018,4,18,seed_0018,Cote d'Ivoire,0.0,wrong_consensus,Nigeria,1.0,Armenia,0.0,38,9.5,Nigeria,4,0,wrong_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0018
N4/all_gpt_4o/seed_0020,4,20,seed_0020,Yemen,1.0,correct_consensus,Yemen,1.0,Armenia,0.0,14,3.5,Yemen,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0020
N4/all_gpt_4o/seed_0023,4,23,seed_0023,Germany,1.0,correct_consensus,Germany,1.0,Armenia,0.0,12,3.0,Germany,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0023
N4/all_gpt_4o/seed_0024,4,24,seed_0024,Ukraine,1.0,correct_consensus,Ukraine,1.0,Armenia,0.0,12,3.0,Ukraine,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0024
N4/all_gpt_4o/seed_0027,4,27,seed_0027,Russia,1.0,correct_consensus,Russia,1.0,Armenia,0.0,28,7.0,Russia,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0027
N4/all_gpt_4o/seed_0032,4,32,seed_0032,Belgium,0.0,polarization,Austria,0.5,Chad,0.5,80,20.0,Austria;Chad,4,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0032
N4/all_gpt_4o/seed_0033,4,33,seed_0033,Nigeria,1.0,correct_consensus,Nigeria,1.0,Armenia,0.0,14,3.5,Nigeria,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0033
N4/all_gpt_4o/seed_0034,4,34,seed_0034,Mali,0.5,polarization,Guinea,0.5,Mali,0.5,80,20.0,Guinea;Mali,4,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0034
N4/all_gpt_4o/seed_0035,4,35,seed_0035,Netherlands,0.0,polarization,Russia,0.5,Yemen,0.5,80,20.0,Russia;Yemen,4,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0035
N4/all_gpt_4o/seed_0036,4,36,seed_0036,Guinea,0.0,wrong_consensus,Mali,1.0,Armenia,0.0,20,5.0,Mali,4,0,wrong_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0036
N4/all_gpt_4o/seed_0037,4,37,seed_0037,Sierra Leone,0.0,wrong_consensus,Russia,1.0,Armenia,0.0,48,12.0,Russia,4,0,wrong_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0037
N4/all_gpt_4o/seed_0038,4,38,seed_0038,Russia,1.0,correct_consensus,Russia,1.0,Armenia,0.0,28,7.0,Russia,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0038
N4/all_gpt_4o/seed_0039,4,39,seed_0039,Estonia,1.0,correct_consensus,Estonia,1.0,Armenia,0.0,20,5.0,Estonia,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0039
N4/all_gpt_4o/seed_0040,4,40,seed_0040,Lithuania,0.0,polarization,Bulgaria,0.75,Chad,0.25,80,20.0,Bulgaria;Chad,4,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0040
N4/all_gpt_4o/seed_0041,4,41,seed_0041,Ireland,0.0,wrong_consensus,Nigeria,1.0,Armenia,0.0,14,3.5,Nigeria,4,0,wrong_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0041
N4/all_gpt_4o/seed_0042,4,42,seed_0042,Russia,1.0,correct_consensus,Russia,1.0,Armenia,0.0,48,12.0,Russia,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0042
N4/all_gpt_4o/seed_0043,4,43,seed_0043,Austria,1.0,correct_consensus,Austria,1.0,Armenia,0.0,18,4.5,Austria,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0043
N4/all_gpt_4o/seed_0044,4,44,seed_0044,Italy,0.0,polarization,France,0.5,Nigeria,0.5,80,20.0,France;Nigeria,4,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0044
N4/all_gpt_4o/seed_0045,4,45,seed_0045,Gabon,1.0,correct_consensus,Gabon,1.0,Armenia,0.0,52,13.0,Gabon,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0045
N4/all_gpt_4o/seed_0047,4,47,seed_0047,Hungary,0.25,polarization,Austria,0.75,Hungary,0.25,80,20.0,Austria;Hungary,4,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0047
N4/all_gpt_4o/seed_0048,4,48,seed_0048,Netherlands,0.0,wrong_consensus,Russia,1.0,Armenia,0.0,30,7.5,Russia,4,0,wrong_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0048
N4/all_gpt_4o/seed_0049,4,49,seed_0049,Belgium,0.0,wrong_consensus,Chad,1.0,Armenia,0.0,12,3.0,Chad,4,0,wrong_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0049
N4/all_gpt_4o/seed_0050,4,50,seed_0050,Luxembourg,0.0,polarization,Austria,0.5,Ukraine,0.5,80,20.0,Austria;Ukraine,4,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0050
N4/all_gpt_4o/seed_0051,4,51,seed_0051,France,1.0,correct_consensus,France,1.0,Armenia,0.0,22,5.5,France,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0051
N4/all_gpt_4o/seed_0052,4,52,seed_0052,Gabon,0.0,wrong_consensus,Ukraine,1.0,Armenia,0.0,80,20.0,Ukraine,4,0,wrong_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0052
N8/all_gpt_4o/seed_0001,8,1,seed_0001,Chad,1.0,correct_consensus,Chad,1.0,Armenia,0.0,36,4.5,Chad,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0001
N8/all_gpt_4o/seed_0002,8,2,seed_0002,Austria,1.0,correct_consensus,Austria,1.0,Armenia,0.0,32,4.0,Austria,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0002
N8/all_gpt_4o/seed_0003,8,3,seed_0003,France,1.0,correct_consensus,France,1.0,Armenia,0.0,60,7.5,France,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0003
N8/all_gpt_4o/seed_0004,8,4,seed_0004,France,1.0,correct_consensus,France,1.0,Armenia,0.0,100,12.5,France,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0004
N8/all_gpt_4o/seed_0005,8,5,seed_0005,Peru,1.0,correct_consensus,Peru,1.0,Armenia,0.0,20,2.5,Peru,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0005
N8/all_gpt_4o/seed_0006,8,6,seed_0006,Nigeria,1.0,correct_consensus,Nigeria,1.0,Armenia,0.0,64,8.0,Nigeria,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0006
N8/all_gpt_4o/seed_0007,8,7,seed_0007,Guinea,0.5,polarization,Guinea,0.5,Mali,0.5,160,20.0,Guinea;Mali,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0007
N8/all_gpt_4o/seed_0008,8,8,seed_0008,France,0.0,polarization,Peru,0.75,Chad,0.25,160,20.0,Peru;Chad,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0008
N8/all_gpt_4o/seed_0009,8,9,seed_0009,Lithuania,0.625,polarization,Lithuania,0.625,Bulgaria,0.375,160,20.0,Lithuania;Bulgaria,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0009
N8/all_gpt_4o/seed_0010,8,10,seed_0010,Nigeria,1.0,correct_consensus,Nigeria,1.0,Armenia,0.0,16,2.0,Nigeria,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0010
N8/all_gpt_4o/seed_0013,8,13,seed_0013,Gabon,0.25,polarization,Ukraine,0.625,Gabon,0.25,160,20.0,Ukraine;Gabon,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0013
N8/all_gpt_4o/seed_0014,8,14,seed_0014,Bulgaria,1.0,correct_consensus,Bulgaria,1.0,Armenia,0.0,68,8.5,Bulgaria,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0014
N8/all_gpt_4o/seed_0015,8,15,seed_0015,Estonia,1.0,correct_consensus,Estonia,1.0,Armenia,0.0,56,7.0,Estonia,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0015
N8/all_gpt_4o/seed_0018,8,18,seed_0018,Cote d'Ivoire,0.25,polarization,Nigeria,0.75,Cote d'Ivoire,0.25,160,20.0,Nigeria;Cote d'Ivoire,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0018
N8/all_gpt_4o/seed_0020,8,20,seed_0020,Yemen,0.25,polarization,Estonia,0.75,Yemen,0.25,160,20.0,Estonia;Yemen,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0020
N8/all_gpt_4o/seed_0023,8,23,seed_0023,Germany,0.375,polarization,Yemen,0.625,Germany,0.375,160,20.0,Yemen;Germany,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0023
N8/all_gpt_4o/seed_0024,8,24,seed_0024,Ukraine,1.0,correct_consensus,Ukraine,1.0,Armenia,0.0,80,10.0,Ukraine,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0024
N8/all_gpt_4o/seed_0027,8,27,seed_0027,Russia,1.0,correct_consensus,Russia,1.0,Armenia,0.0,96,12.0,Russia,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0027
N8/all_gpt_4o/seed_0032,8,32,seed_0032,Belgium,1.0,correct_consensus,Belgium,1.0,Armenia,0.0,120,15.0,Belgium,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0032
N8/all_gpt_4o/seed_0033,8,33,seed_0033,Nigeria,1.0,correct_consensus,Nigeria,1.0,Armenia,0.0,24,3.0,Nigeria,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0033
N8/all_gpt_4o/seed_0034,8,34,seed_0034,Mali,0.625,polarization,Mali,0.625,Guinea,0.375,160,20.0,Mali;Guinea,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0034
N8/all_gpt_4o/seed_0035,8,35,seed_0035,Netherlands,0.0,polarization,Yemen,0.75,Russia,0.25,160,20.0,Yemen;Russia,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0035
N8/all_gpt_4o/seed_0036,8,36,seed_0036,Guinea,0.375,polarization,Mali,0.625,Guinea,0.375,160,20.0,Mali;Guinea,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0036
N8/all_gpt_4o/seed_0037,8,37,seed_0037,Sierra Leone,0.0,wrong_consensus,Russia,1.0,Armenia,0.0,160,20.0,Russia,8,0,wrong_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0037
N8/all_gpt_4o/seed_0038,8,38,seed_0038,Russia,0.375,polarization,Armenia,0.625,Russia,0.375,160,20.0,Armenia;Russia,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0038
N8/all_gpt_4o/seed_0039,8,39,seed_0039,Estonia,1.0,correct_consensus,Estonia,1.0,Armenia,0.0,24,3.0,Estonia,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0039
N8/all_gpt_4o/seed_0040,8,40,seed_0040,Lithuania,0.0,polarization,Bulgaria,0.625,Gabon,0.375,160,20.0,Bulgaria;Gabon,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0040
N8/all_gpt_4o/seed_0041,8,41,seed_0041,Ireland,0.0,wrong_consensus,Nigeria,0.875,Cote d'Ivoire,0.125,160,20.0,Nigeria,8,0,fragmentation,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0041
N8/all_gpt_4o/seed_0042,8,42,seed_0042,Russia,1.0,correct_consensus,Russia,1.0,Armenia,0.0,60,7.5,Russia,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0042
N8/all_gpt_4o/seed_0043,8,43,seed_0043,Austria,1.0,correct_consensus,Austria,1.0,Armenia,0.0,36,4.5,Austria,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0043
N8/all_gpt_4o/seed_0044,8,44,seed_0044,Italy,0.0,wrong_consensus,Nigeria,1.0,Armenia,0.0,88,11.0,Nigeria,8,0,wrong_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0044
N8/all_gpt_4o/seed_0045,8,45,seed_0045,Gabon,1.0,correct_consensus,Gabon,1.0,Armenia,0.0,68,8.5,Gabon,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0045
N8/all_gpt_4o/seed_0047,8,47,seed_0047,Hungary,0.0,polarization,Austria,0.75,Nigeria,0.25,160,20.0,Austria;Nigeria,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0047
N8/all_gpt_4o/seed_0048,8,48,seed_0048,Netherlands,0.0,polarization,Russia,0.625,Yemen,0.375,160,20.0,Russia;Yemen,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0048
N8/all_gpt_4o/seed_0049,8,49,seed_0049,Belgium,0.25,polarization,Chad,0.75,Belgium,0.25,160,20.0,Chad;Belgium,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0049
N8/all_gpt_4o/seed_0050,8,50,seed_0050,Luxembourg,0.0,polarization,Sierra Leone,0.5,Yemen,0.5,160,20.0,Sierra Leone;Yemen,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0050
N8/all_gpt_4o/seed_0051,8,51,seed_0051,France,1.0,correct_consensus,France,1.0,Armenia,0.0,40,5.0,France,8,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0051
N8/all_gpt_4o/seed_0052,8,52,seed_0052,Gabon,0.375,polarization,Gabon,0.375,Ukraine,0.375,160,20.0,Gabon;Ukraine;Chad,8,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N8/all_gpt_4o/seed_0052
N16/all_gpt_4o/seed_0001,16,1,seed_0001,Chad,1.0,correct_consensus,Chad,1.0,Armenia,0.0,128,8.0,Chad,16,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N16/all_gpt_4o/seed_0001
N16/all_gpt_4o/seed_0002,16,2,seed_0002,Austria,1.0,correct_consensus,Austria,1.0,Armenia,0.0,104,6.5,Austria,16,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N16/all_gpt_4o/seed_0002
N16/all_gpt_4o/seed_0003,16,3,seed_0003,France,1.0,correct_consensus,France,1.0,Armenia,0.0,296,18.5,France,16,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N16/all_gpt_4o/seed_0003
N16/all_gpt_4o/seed_0004,16,4,seed_0004,France,1.0,correct_consensus,France,1.0,Armenia,0.0,312,19.5,France,16,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N16/all_gpt_4o/seed_0004
N16/all_gpt_4o/seed_0005,16,5,seed_0005,Peru,1.0,correct_consensus,Peru,1.0,Armenia,0.0,120,7.5,Peru,16,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N16/all_gpt_4o/seed_0005
N16/all_gpt_4o/seed_0006,16,6,seed_0006,Nigeria,1.0,correct_consensus,Nigeria,1.0,Armenia,0.0,56,3.5,Nigeria,16,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N16/all_gpt_4o/seed_0006
N16/all_gpt_4o/seed_0007,16,7,seed_0007,Guinea,1.0,correct_consensus,Guinea,1.0,Armenia,0.0,192,12.0,Guinea,16,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N16/all_gpt_4o/seed_0007
N16/all_gpt_4o/seed_0008,16,8,seed_0008,France,0.3125,polarization,Peru,0.6875,France,0.3125,384,24.0,Peru;France,16,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N16/all_gpt_4o/seed_0008
N16/all_gpt_4o/seed_0009,16,9,seed_0009,Lithuania,0.625,polarization,Lithuania,0.625,Bulgaria,0.375,384,24.0,Lithuania;Bulgaria,16,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N16/all_gpt_4o/seed_0009
N16/all_gpt_4o/seed_0010,16,10,seed_0010,Nigeria,1.0,correct_consensus,Nigeria,1.0,Armenia,0.0,88,5.5,Nigeria,16,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N16/all_gpt_4o/seed_0010
N16/all_gpt_4o/seed_0013,16,13,seed_0013,Gabon,0.3125,polarization,Ukraine,0.6875,Gabon,0.3125,384,24.0,Ukraine;Gabon,16,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N16/all_gpt_4o/seed_0013
