run_id,N,seed,agent_id,truth,rival,rival_source,context_id,top,left,height,width,B_valid,truth_count,rival_count,outcome
N4/all_gpt_4o/seed_0006,4,6,0,Nigeria,France,original_initialization_fallback,a72544c99875da4354b0,11,1,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0006,4,6,1,Nigeria,France,original_initialization_fallback,0766ae0842060c977c36,1,1,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0006,4,6,2,Nigeria,France,original_initialization_fallback,82fe243650d2ae3a1697,6,10,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0006,4,6,3,Nigeria,France,original_initialization_fallback,55bb4d4c7e52e1beccad,10,5,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0007,4,7,0,Guinea,Mali,final_endpoint,ec34e20f403dd61ed955,12,14,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0007,4,7,1,Guinea,Mali,final_endpoint,a1a72bd4acab4f4056c6,2,0,4,6,50,4,46,wrong_consensus
N4/all_gpt_4o/seed_0007,4,7,2,Guinea,Mali,final_endpoint,dc89a0601608c4d57a88,5,6,4,6,50,46,4,wrong_consensus
N4/all_gpt_4o/seed_0007,4,7,3,Guinea,Mali,final_endpoint,1078f2a185563b9d45cc,8,14,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0008,4,8,0,France,Chad,original_initialization_fallback,88de25e466e6886a5e54,4,18,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0008,4,8,1,France,Chad,original_initialization_fallback,3de21b94eb7d15df4e53,12,18,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0008,4,8,2,France,Chad,original_initialization_fallback,a2e365a654f4529351d6,5,1,4,6,50,47,3,correct_consensus
N4/all_gpt_4o/seed_0008,4,8,3,France,Chad,original_initialization_fallback,7e008ba31db573fa5db1,1,13,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0009,4,9,0,Lithuania,Bulgaria,final_endpoint,64f43b4bd0af88069ca1,8,4,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0009,4,9,1,Lithuania,Bulgaria,final_endpoint,7a03458b550bf31c4796,5,0,4,6,50,50,0,polarization
N4/all_gpt_4o/seed_0009,4,9,2,Lithuania,Bulgaria,final_endpoint,37ab1a450c386372725c,3,11,4,6,50,50,0,polarization
N4/all_gpt_4o/seed_0009,4,9,3,Lithuania,Bulgaria,final_endpoint,0f621a44bb27b0352d25,1,16,4,6,50,50,0,polarization
N4/all_gpt_4o/seed_0010,4,10,0,Nigeria,France,original_initialization_fallback,28082c541508046da2d4,0,8,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0010,4,10,1,Nigeria,France,original_initialization_fallback,9fed98ed0dcaf0dde543,5,14,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0010,4,10,2,Nigeria,France,original_initialization_fallback,1397eff41d4717a221cc,6,9,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0010,4,10,3,Nigeria,France,original_initialization_fallback,40e10faaf72fd6a593f4,7,14,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0013,4,13,0,Gabon,Ukraine,original_initialization_fallback,614d68288dc29d8a0c6d,3,17,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0013,4,13,1,Gabon,Ukraine,original_initialization_fallback,376af44e5ab7c792e36a,9,4,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0013,4,13,2,Gabon,Ukraine,original_initialization_fallback,c69078bfc69e6475aafe,12,4,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0013,4,13,3,Gabon,Ukraine,original_initialization_fallback,dea359181e9c8be9e6e8,10,15,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0014,4,14,0,Bulgaria,Hungary,original_initialization_fallback,631e0fe348cf6c81e2e5,8,5,4,6,50,6,44,correct_consensus
N4/all_gpt_4o/seed_0014,4,14,1,Bulgaria,Hungary,original_initialization_fallback,5c5905a8321100481309,9,8,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0014,4,14,2,Bulgaria,Hungary,original_initialization_fallback,21e4aacabd48aa5c9a6a,10,3,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0014,4,14,3,Bulgaria,Hungary,original_initialization_fallback,6b6a0ccd086ca3976b4c,8,14,4,6,50,3,47,correct_consensus
N4/all_gpt_4o/seed_0015,4,15,0,Estonia,Chad,final_endpoint,5fa5513e4c9cdddc99d8,0,2,4,6,50,48,2,wrong_consensus
N4/all_gpt_4o/seed_0015,4,15,1,Estonia,Chad,final_endpoint,0894c057634767e53232,7,0,4,6,50,50,0,wrong_consensus
N4/all_gpt_4o/seed_0015,4,15,2,Estonia,Chad,final_endpoint,512df90d2de3b53d972d,9,17,4,6,50,50,0,wrong_consensus
N4/all_gpt_4o/seed_0015,4,15,3,Estonia,Chad,final_endpoint,4820e49d18334002b655,0,9,4,6,50,49,1,wrong_consensus
N4/all_gpt_4o/seed_0018,4,18,0,Cote d'Ivoire,Nigeria,final_endpoint,9aa0b2dd68da59498948,1,12,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0018,4,18,1,Cote d'Ivoire,Nigeria,final_endpoint,a90bc5d83a3208ffc2f2,8,17,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0018,4,18,2,Cote d'Ivoire,Nigeria,final_endpoint,21d1b283a0ff8482bc36,6,0,4,6,50,50,0,wrong_consensus
N4/all_gpt_4o/seed_0018,4,18,3,Cote d'Ivoire,Nigeria,final_endpoint,d7a92318a3840338bebf,4,9,4,6,50,36,14,wrong_consensus
N4/all_gpt_4o/seed_0020,4,20,0,Yemen,Ireland,original_initialization_fallback,fb5d9b96ecf9c169fd31,9,4,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0020,4,20,1,Yemen,Ireland,original_initialization_fallback,7e573bb99136b88b027e,10,11,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0020,4,20,2,Yemen,Ireland,original_initialization_fallback,733305051e9394376624,10,6,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0020,4,20,3,Yemen,Ireland,original_initialization_fallback,b19e7b6e379152213e55,11,16,4,6,50,47,3,correct_consensus
N4/all_gpt_4o/seed_0023,4,23,0,Germany,Chad,original_initialization_fallback,2bf58e0b54e30e779aa8,12,0,4,6,50,11,39,correct_consensus
N4/all_gpt_4o/seed_0023,4,23,1,Germany,Chad,original_initialization_fallback,15fc5c5e185faca73b2f,11,3,4,6,50,11,39,correct_consensus
N4/all_gpt_4o/seed_0023,4,23,2,Germany,Chad,original_initialization_fallback,a04b9dfab3cb4cddc0d3,1,2,4,6,50,43,7,correct_consensus
N4/all_gpt_4o/seed_0023,4,23,3,Germany,Chad,original_initialization_fallback,cbdcc0f75aebc08d538f,0,4,4,6,50,44,6,correct_consensus
N4/all_gpt_4o/seed_0024,4,24,0,Ukraine,Chad,original_initialization_fallback,28cce33fedd5080c039d,5,3,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0024,4,24,1,Ukraine,Chad,original_initialization_fallback,3efc084a2e62334558b1,11,5,4,6,50,44,6,correct_consensus
N4/all_gpt_4o/seed_0024,4,24,2,Ukraine,Chad,original_initialization_fallback,7e9765a6c9816c48a72a,7,16,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0024,4,24,3,Ukraine,Chad,original_initialization_fallback,a37960005e8a856c60b1,2,8,4,6,50,26,24,correct_consensus
N4/all_gpt_4o/seed_0027,4,27,0,Russia,Chad,original_initialization_fallback,fe3f69ec06f55aeca3b3,6,8,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0027,4,27,1,Russia,Chad,original_initialization_fallback,b85c8fb4fcd8cb4b78ce,9,8,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0027,4,27,2,Russia,Chad,original_initialization_fallback,fb9b83c0fee7609f39df,3,13,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0027,4,27,3,Russia,Chad,original_initialization_fallback,ee6999b281354710d24a,12,17,4,6,50,29,21,correct_consensus
N4/all_gpt_4o/seed_0032,4,32,0,Belgium,Chad,final_endpoint_tie_initialization_tiebreak,d1081f01dd34f28dd215,12,9,4,6,50,50,0,polarization
N4/all_gpt_4o/seed_0032,4,32,1,Belgium,Chad,final_endpoint_tie_initialization_tiebreak,5844933176999815ac5f,2,16,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0032,4,32,2,Belgium,Chad,final_endpoint_tie_initialization_tiebreak,f074db6d39f32577ea7c,1,18,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0032,4,32,3,Belgium,Chad,final_endpoint_tie_initialization_tiebreak,6f19d9c28b6bda4f352d,4,1,4,6,50,47,3,polarization
N4/all_gpt_4o/seed_0033,4,33,0,Nigeria,France,original_initialization_fallback,cc1d4bd4840388f6b82a,2,4,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0033,4,33,1,Nigeria,France,original_initialization_fallback,e329f28e1b2f33eef212,8,9,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0033,4,33,2,Nigeria,France,original_initialization_fallback,2237c33ee2faa0ab7f1a,3,2,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0033,4,33,3,Nigeria,France,original_initialization_fallback,6b34e00c663dbf9a97e0,11,0,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0034,4,34,0,Mali,Guinea,final_endpoint,ff46e68e5555ba0c3883,4,15,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0034,4,34,1,Mali,Guinea,final_endpoint,d9b32b654832277db326,7,16,4,6,50,47,3,polarization
N4/all_gpt_4o/seed_0034,4,34,2,Mali,Guinea,final_endpoint,67f0fe842035707a1f39,0,7,4,6,50,50,0,polarization
N4/all_gpt_4o/seed_0034,4,34,3,Mali,Guinea,final_endpoint,234251525c9c37fcaf5c,11,6,4,6,50,50,0,polarization
N4/all_gpt_4o/seed_0035,4,35,0,Netherlands,Russia,final_endpoint_tie_initialization_tiebreak,83ba0f865c198b0207d9,4,9,4,6,50,25,25,polarization
N4/all_gpt_4o/seed_0035,4,35,1,Netherlands,Russia,final_endpoint_tie_initialization_tiebreak,53e2fff53ee5ba87356b,10,2,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0035,4,35,2,Netherlands,Russia,final_endpoint_tie_initialization_tiebreak,5e75ccac012f3392c3c8,1,14,4,6,50,8,42,polarization
N4/all_gpt_4o/seed_0035,4,35,3,Netherlands,Russia,final_endpoint_tie_initialization_tiebreak,1311b4d0a0ebeacb91e7,10,1,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0036,4,36,0,Guinea,Mali,final_endpoint,9357c95ea4910e3b8776,0,14,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0036,4,36,1,Guinea,Mali,final_endpoint,9b7ca9e1b19a8c2c642f,0,5,4,6,50,49,1,wrong_consensus
N4/all_gpt_4o/seed_0036,4,36,2,Guinea,Mali,final_endpoint,252527f69ab7f5d3b2eb,12,17,4,6,50,3,47,wrong_consensus
N4/all_gpt_4o/seed_0036,4,36,3,Guinea,Mali,final_endpoint,832467244a32b134443b,10,15,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0037,4,37,0,Sierra Leone,Russia,final_endpoint,8d89239d8f654f5f4b62,8,3,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0037,4,37,1,Sierra Leone,Russia,final_endpoint,254e169eb283c660f81f,1,4,4,6,50,50,0,wrong_consensus
N4/all_gpt_4o/seed_0037,4,37,2,Sierra Leone,Russia,final_endpoint,b8583c140452246b6582,12,11,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0037,4,37,3,Sierra Leone,Russia,final_endpoint,8555e81955d8c4948c1e,8,6,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0038,4,38,0,Russia,Estonia,original_initialization_fallback,a808cf034b8904b256c6,5,12,4,6,50,1,49,correct_consensus
N4/all_gpt_4o/seed_0038,4,38,1,Russia,Estonia,original_initialization_fallback,bb4c9ced5c2a3176aa32,5,14,4,6,50,3,47,correct_consensus
N4/all_gpt_4o/seed_0038,4,38,2,Russia,Estonia,original_initialization_fallback,1ef85af0070dcc7d548a,10,3,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0038,4,38,3,Russia,Estonia,original_initialization_fallback,4a8bf7f6ab470f12ff2b,9,14,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0039,4,39,0,Estonia,Chad,original_initialization_fallback,481fd916e13ac03da80e,3,9,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0039,4,39,1,Estonia,Chad,original_initialization_fallback,09aee40e8715162db6bc,5,3,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0039,4,39,2,Estonia,Chad,original_initialization_fallback,625e108fd6e8d18c88e6,0,6,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0039,4,39,3,Estonia,Chad,original_initialization_fallback,a89fd475d82c2b8f5b4d,2,11,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0040,4,40,0,Lithuania,Bulgaria,final_endpoint,766d227639f3acee5e08,7,15,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0040,4,40,1,Lithuania,Bulgaria,final_endpoint,76c08c6b38e09cecab3f,11,15,4,6,50,47,3,polarization
N4/all_gpt_4o/seed_0040,4,40,2,Lithuania,Bulgaria,final_endpoint,31fed8c3554e55c98db6,7,1,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0040,4,40,3,Lithuania,Bulgaria,final_endpoint,90e85045e6e3da7c8970,0,8,4,6,50,50,0,polarization
N4/all_gpt_4o/seed_0041,4,41,0,Ireland,Nigeria,final_endpoint,653022bf65f140b6e4ea,4,9,4,6,50,40,10,wrong_consensus
N4/all_gpt_4o/seed_0041,4,41,1,Ireland,Nigeria,final_endpoint,1f9525aff56a32f5ff0a,3,2,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0041,4,41,2,Ireland,Nigeria,final_endpoint,259b4c625d06cc4ba141,2,4,4,6,50,1,49,wrong_consensus
N4/all_gpt_4o/seed_0041,4,41,3,Ireland,Nigeria,final_endpoint,b731a1aecfb0edc58546,12,2,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0042,4,42,0,Russia,Nigeria,original_initialization_fallback,18b18aef6f5913db3c02,1,9,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0042,4,42,1,Russia,Nigeria,original_initialization_fallback,59b2ae3fd4589bac274a,0,6,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0042,4,42,2,Russia,Nigeria,original_initialization_fallback,4324540089fefc095a0a,9,18,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0042,4,42,3,Russia,Nigeria,original_initialization_fallback,1b826676d534746917ba,3,13,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0043,4,43,0,Austria,Yemen,original_initialization_fallback,60244d59ef7a78917a28,3,16,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0043,4,43,1,Austria,Yemen,original_initialization_fallback,ec5369bbbcac072a5a26,9,7,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0043,4,43,2,Austria,Yemen,original_initialization_fallback,ef73b84b41c2ab20c645,10,5,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0043,4,43,3,Austria,Yemen,original_initialization_fallback,7f840bfa6de4f3a6bc9e,1,17,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0044,4,44,0,Italy,Nigeria,final_endpoint_tie_initialization_tiebreak,26264656f470b6aeca22,7,0,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0044,4,44,1,Italy,Nigeria,final_endpoint_tie_initialization_tiebreak,8fc1987e5957090724e5,7,5,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0044,4,44,2,Italy,Nigeria,final_endpoint_tie_initialization_tiebreak,3850b2be963030114f07,9,8,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0044,4,44,3,Italy,Nigeria,final_endpoint_tie_initialization_tiebreak,e00598db9c0be7659244,11,11,4,6,50,50,0,polarization
N4/all_gpt_4o/seed_0045,4,45,0,Gabon,Chad,original_initialization_fallback,47d62e4c03a6dd16ee06,5,11,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0045,4,45,1,Gabon,Chad,original_initialization_fallback,1c94e49d3c6d53a2a5d9,6,10,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0045,4,45,2,Gabon,Chad,original_initialization_fallback,610af240cbc28120ed48,3,8,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0045,4,45,3,Gabon,Chad,original_initialization_fallback,261aaad774c990e05d9a,1,1,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0047,4,47,0,Hungary,Austria,final_endpoint,4330845e453ec43baff8,0,16,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0047,4,47,1,Hungary,Austria,final_endpoint,b38163ba8b9e5e86b0d9,5,15,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0047,4,47,2,Hungary,Austria,final_endpoint,700b66795568a5cdfa04,7,8,4,6,50,50,0,polarization
N4/all_gpt_4o/seed_0047,4,47,3,Hungary,Austria,final_endpoint,2a0e8ed25d294364a31a,6,2,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0048,4,48,0,Netherlands,Russia,final_endpoint,9547dcaed2b9bbf974f2,4,4,4,6,50,25,25,wrong_consensus
N4/all_gpt_4o/seed_0048,4,48,1,Netherlands,Russia,final_endpoint,5e75ccac012f3392c3c8,1,14,4,6,50,8,42,wrong_consensus
N4/all_gpt_4o/seed_0048,4,48,2,Netherlands,Russia,final_endpoint,4eaafbed308a609e50e1,7,9,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0048,4,48,3,Netherlands,Russia,final_endpoint,243f04a4bc2e33951a97,9,11,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0049,4,49,0,Belgium,Chad,final_endpoint,792d4445159b81de1adf,4,12,4,6,50,23,27,wrong_consensus
N4/all_gpt_4o/seed_0049,4,49,1,Belgium,Chad,final_endpoint,ad7c7fa40cbfeb387b54,5,10,4,6,50,50,0,wrong_consensus
N4/all_gpt_4o/seed_0049,4,49,2,Belgium,Chad,final_endpoint,a266d7ff14601b47c707,12,10,4,6,50,50,0,wrong_consensus
N4/all_gpt_4o/seed_0049,4,49,3,Belgium,Chad,final_endpoint,81f5f77d709657823034,1,9,4,6,50,50,0,wrong_consensus
N4/all_gpt_4o/seed_0050,4,50,0,Luxembourg,Ukraine,final_endpoint_tie_initialization_tiebreak,8508578689780366a1ae,11,10,4,6,50,47,3,polarization
N4/all_gpt_4o/seed_0050,4,50,1,Luxembourg,Ukraine,final_endpoint_tie_initialization_tiebreak,c4ae7318249679bf8654,3,11,4,6,50,50,0,polarization
N4/all_gpt_4o/seed_0050,4,50,2,Luxembourg,Ukraine,final_endpoint_tie_initialization_tiebreak,7d1ab7c4f98ee9bea171,4,17,4,6,50,50,0,polarization
N4/all_gpt_4o/seed_0050,4,50,3,Luxembourg,Ukraine,final_endpoint_tie_initialization_tiebreak,597f233f498e1592f086,8,11,4,6,50,50,0,polarization
N4/all_gpt_4o/seed_0051,4,51,0,France,Peru,original_initialization_fallback,9e5637dff134dd87db83,11,5,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0051,4,51,1,France,Peru,original_initialization_fallback,68afb097bb179cd99e96,6,14,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0051,4,51,2,France,Peru,original_initialization_fallback,5f33321f655024393547,7,8,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0051,4,51,3,France,Peru,original_initialization_fallback,789e8983da9223e9a53a,2,3,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0052,4,52,0,Gabon,Ukraine,final_endpoint,4d1e33c3622a043c9411,0,13,4,6,50,50,0,wrong_consensus
N4/all_gpt_4o/seed_0052,4,52,1,Gabon,Ukraine,final_endpoint,3e1d7e7c4b2461293f58,11,16,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0052,4,52,2,Gabon,Ukraine,final_endpoint,3e36901010cc1c68d2c3,9,14,4,6,50,0,50,wrong_consensus
N4/all_gpt_4o/seed_0052,4,52,3,Gabon,Ukraine,final_endpoint,9686e91bbf81791181c9,6,17,4,6,50,0,50,wrong_consensus
N8/all_gpt_4o/seed_0001,8,1,0,Chad,Mali,original_initialization_fallback,f4c1cb908274df06f41b,7,12,4,6,50,31,19,correct_consensus
N8/all_gpt_4o/seed_0001,8,1,1,Chad,Mali,original_initialization_fallback,7f6407e93459e3791153,11,7,4,6,50,50,0,correct_consensus
N8/all_gpt_4o/seed_0001,8,1,2,Chad,Mali,original_initialization_fallback,35d069008c9c80cb76fc,10,15,4,6,50,0,50,correct_consensus
N8/all_gpt_4o/seed_0001,8,1,3,Chad,Mali,original_initialization_fallback,95af64638769c2474d2f,10,5,4,6,50,50,0,correct_consensus
N8/all_gpt_4o/seed_0001,8,1,4,Chad,Mali,original_initialization_fallback,51952dd1cfe7e5050dfd,0,16,4,6,50,10,40,correct_consensus
N8/all_gpt_4o/seed_0001,8,1,5,Chad,Mali,original_initialization_fallback,f959c15d1fdb459a96f1,3,8,4,6,50,0,50,correct_consensus
N8/all_gpt_4o/seed_0001,8,1,6,Chad,Mali,original_initialization_fallback,ef3c09df2c046a842718,1,11,4,6,50,0,50,correct_consensus
N8/all_gpt_4o/seed_0001,8,1,7,Chad,Mali,original_initialization_fallback,fedffe6af61811f30f18,6,12,4,6,50,31,19,correct_consensus
N8/all_gpt_4o/seed_0002,8,2,0,Austria,Yemen,original_initialization_fallback,594f9a3d99fb03e2b745,1,4,4,6,50,50,0,correct_consensus
N8/all_gpt_4o/seed_0002,8,2,1,Austria,Yemen,original_initialization_fallback,275bf44e19dd855979ff,1,2,4,6,50,50,0,correct_consensus
N8/all_gpt_4o/seed_0002,8,2,2,Austria,Yemen,original_initialization_fallback,41a328bae81f20262666,4,16,4,6,50,50,0,correct_consensus
N8/all_gpt_4o/seed_0002,8,2,3,Austria,Yemen,original_initialization_fallback,0a8726d4828ec60c69de,11,4,4,6,50,50,0,correct_consensus
N8/all_gpt_4o/seed_0002,8,2,4,Austria,Yemen,original_initialization_fallback,bb721b3cf152d82bd0b7,2,5,4,6,50,50,0,correct_consensus
N8/all_gpt_4o/seed_0002,8,2,5,Austria,Yemen,original_initialization_fallback,d37916f0695bd6a74aed,9,17,4,6,50,50,0,correct_consensus
N8/all_gpt_4o/seed_0002,8,2,6,Austria,Yemen,original_initialization_fallback,afd75afa7e02eb25cf81,10,17,4,6,50,50,0,correct_consensus
N8/all_gpt_4o/seed_0002,8,2,7,Austria,Yemen,original_initialization_fallback,4ea88f56d0958c1eb24f,9,0,4,6,50,50,0,correct_consensus
N8/all_gpt_4o/seed_0003,8,3,0,France,Chad,original_initialization_fallback,c17503279a6a9269213e,7,18,4,6,50,0,50,correct_consensus
N8/all_gpt_4o/seed_0003,8,3,1,France,Chad,original_initialization_fallback,d96f06e1ad8dbc526638,7,6,4,6,50,49,1,correct_consensus
N8/all_gpt_4o/seed_0003,8,3,2,France,Chad,original_initialization_fallback,09cf5736b9d119dba1f5,1,14,4,6,50,50,0,correct_consensus
N8/all_gpt_4o/seed_0003,8,3,3,France,Chad,original_initialization_fallback,88de25e466e6886a5e54,4,18,4,6,50,0,50,correct_consensus
N8/all_gpt_4o/seed_0003,8,3,4,France,Chad,original_initialization_fallback,ab1726c3584fbb67e31a,12,6,4,6,50,49,1,correct_consensus
N8/all_gpt_4o/seed_0003,8,3,5,France,Chad,original_initialization_fallback,f690e595e37a61f165d0,8,2,4,6,50,50,0,correct_consensus
N8/all_gpt_4o/seed_0003,8,3,6,France,Chad,original_initialization_fallback,39d0cb47356d24fd2048,6,7,4,6,50,50,0,correct_consensus
N8/all_gpt_4o/seed_0003,8,3,7,France,Chad,original_initialization_fallback,ce35bfb59b8edcaa9b55,8,8,4,6,50,50,0,correct_consensus
N8/all_gpt_4o/seed_0004,8,4,0,France,Chad,original_initialization_fallback,2777e29441927b8e8037,4,1,4,6,50,48,2,correct_consensus
N8/all_gpt_4o/seed_0004,8,4,1,France,Chad,original_initialization_fallback,77e3a8d454f1127cf668,1,7,4,6,50,50,0,correct_consensus
