run_id,N,outcome,truth_count,rival_count,valid_count,rival_response_share,display_N,log2_N_offset
N8/all_gpt_4o/seed_0038,8,polarization,270,130,400,0.325,7.722136198974056,-0.051000000000000004
N8/all_gpt_4o/seed_0045,8,correct_consensus,250,150,400,0.375,8,0
N8/all_gpt_4o/seed_0006,8,correct_consensus,250,150,400,0.375,7.366605577640319,-0.11900000000000001
N8/all_gpt_4o/seed_0040,8,polarization,242,158,400,0.395,8.38609980413543,0.068
N8/all_gpt_4o/seed_0050,8,polarization,232,168,400,0.42,8,0
N8/all_gpt_4o/seed_0023,8,polarization,202,198,400,0.495,8,0
N8/all_gpt_4o/seed_0020,8,polarization,189,211,400,0.5275,8,0
N8/all_gpt_4o/seed_0001,8,correct_consensus,172,228,400,0.57,8,0
N8/all_gpt_4o/seed_0035,8,polarization,151,249,400,0.6225,8,0
N8/all_gpt_4o/seed_0008,8,polarization,150,250,400,0.625,7.366605577640319,-0.11900000000000001
N8/all_gpt_4o/seed_0018,8,polarization,136,264,400,0.66,8,0
N8/all_gpt_4o/seed_0014,8,correct_consensus,124,276,400,0.69,8,0
N8/all_gpt_4o/seed_0013,8,polarization,118,282,400,0.705,7.542276287345916,-0.085
N8/all_gpt_4o/seed_0036,8,polarization,103,297,400,0.7425,7.453923434438185,-0.10200000000000001
N8/all_gpt_4o/seed_0047,8,polarization,100,300,400,0.75,8.586082291147628,0.10200000000000001
N8/all_gpt_4o/seed_0052,8,polarization,100,300,400,0.75,6.9451218208083425,-0.20400000000000001
N8/all_gpt_4o/seed_0007,8,polarization,105,295,400,0.7375,8,0
N8/all_gpt_4o/seed_0041,8,wrong_consensus,91,309,400,0.7725,8,0
N8/all_gpt_4o/seed_0037,8,wrong_consensus,51,349,400,0.8725,8,0
N8/all_gpt_4o/seed_0044,8,wrong_consensus,50,350,400,0.875,7.366605577640319,-0.11900000000000001
N16/all_gpt_4o/seed_0015,16,correct_consensus,786,14,800,0.0175,17.172164582295256,0.10200000000000001
N16/all_gpt_4o/seed_0043,16,correct_consensus,797,3,800,0.00375,16,0
N16/all_gpt_4o/seed_0002,16,correct_consensus,794,6,800,0.0075,14.733211155280639,-0.11900000000000001
N16/all_gpt_4o/seed_0050,16,polarization,744,56,800,0.07,14.733211155280639,-0.11900000000000001
N16/all_gpt_4o/seed_0051,16,correct_consensus,744,56,800,0.07,16,0
N16/all_gpt_4o/seed_0024,16,wrong_consensus,577,223,800,0.27875,16,0
N16/all_gpt_4o/seed_0039,16,correct_consensus,681,119,800,0.14875,15.627336463395638,-0.034
N16/all_gpt_4o/seed_0014,16,correct_consensus,700,100,800,0.125,16,0
N16/all_gpt_4o/seed_0010,16,correct_consensus,700,100,800,0.125,14.733211155280639,-0.11900000000000001
N16/all_gpt_4o/seed_0034,16,polarization,685,115,800,0.14375,14.054887491813787,-0.187
N16/all_gpt_4o/seed_0004,16,correct_consensus,694,106,800,0.1325,17.172164582295256,0.10200000000000001
N16/all_gpt_4o/seed_0027,16,correct_consensus,654,146,800,0.1825,16,0
N16/all_gpt_4o/seed_0006,16,correct_consensus,650,150,800,0.1875,14.90784686887637,-0.10200000000000001
N16/all_gpt_4o/seed_0033,16,correct_consensus,650,150,800,0.1875,17.172164582295256,0.10200000000000001
N16/all_gpt_4o/seed_0005,16,correct_consensus,650,150,800,0.1875,13.727528486859054,-0.22100000000000003
N16/all_gpt_4o/seed_0038,16,correct_consensus,649,151,800,0.18875,18.648659170152953,0.22100000000000003
N16/all_gpt_4o/seed_0032,16,correct_consensus,646,154,800,0.1925,12.942101573787825,-0.30600000000000005
N16/all_gpt_4o/seed_0003,16,correct_consensus,643,157,800,0.19625,19.780404174735224,0.30600000000000005
N16/all_gpt_4o/seed_0042,16,correct_consensus,630,170,800,0.2125,16,0
N16/all_gpt_4o/seed_0049,16,polarization,599,201,800,0.25125,16,0
N16/all_gpt_4o/seed_0045,16,fragmentation,500,300,800,0.375,16,0
N16/all_gpt_4o/seed_0040,16,polarization,488,312,800,0.39,15.084552574691832,-0.085
N16/all_gpt_4o/seed_0009,16,polarization,482,318,800,0.3975,16.575724216960296,0.051000000000000004
N16/all_gpt_4o/seed_0001,16,correct_consensus,453,347,800,0.43375,16,0
N16/all_gpt_4o/seed_0035,16,polarization,400,400,800,0.5,16,0
N16/all_gpt_4o/seed_0020,16,polarization,371,429,800,0.53625,16,0
N16/all_gpt_4o/seed_0052,16,polarization,350,450,800,0.5625,14.733211155280639,-0.11900000000000001
N16/all_gpt_4o/seed_0023,16,correct_consensus,350,450,800,0.5625,16,0
N16/all_gpt_4o/seed_0013,16,polarization,339,461,800,0.57625,17.172164582295256,0.10200000000000001
N16/all_gpt_4o/seed_0018,16,fragmentation,334,466,800,0.5825,14.054887491813787,-0.187
N16/all_gpt_4o/seed_0041,16,fragmentation,319,481,800,0.60125,16,0
N16/all_gpt_4o/seed_0008,16,polarization,300,500,800,0.625,15.627336463395638,-0.034
N16/all_gpt_4o/seed_0047,16,polarization,250,550,800,0.6875,16,0
N16/all_gpt_4o/seed_0037,16,polarization,227,573,800,0.71625,16,0
N16/all_gpt_4o/seed_0007,16,correct_consensus,209,591,800,0.73875,15.444272397948112,-0.051000000000000004
N16/all_gpt_4o/seed_0044,16,polarization,200,600,800,0.75,16.575724216960296,0.051000000000000004
N16/all_gpt_4o/seed_0036,16,polarization,156,644,800,0.805,16,0
N32/all_gpt_4o/seed_0043,32,correct_consensus,1591,9,1600,0.005625,32,0
N32/all_gpt_4o/seed_0015,32,correct_consensus,1585,15,1600,0.009375,34.75141940231342,0.11900000000000001
N32/all_gpt_4o/seed_0002,32,correct_consensus,1587,13,1600,0.008125,29.466422310561278,-0.11900000000000001
N32/all_gpt_4o/seed_0024,32,correct_consensus,1287,313,1600,0.195625,31.254672926791276,-0.034
N32/all_gpt_4o/seed_0039,32,correct_consensus,1436,164,1600,0.1025,34.34432916459051,0.10200000000000001
N32/all_gpt_4o/seed_0036,32,correct_consensus,1450,150,1600,0.09375,32,0
N32/all_gpt_4o/seed_0010,32,correct_consensus,1450,150,1600,0.09375,29.466422310561278,-0.11900000000000001
N32/all_gpt_4o/seed_0027,32,correct_consensus,1333,267,1600,0.166875,32,0
N32/all_gpt_4o/seed_0005,32,correct_consensus,1317,283,1600,0.176875,29.81569373775274,-0.10200000000000001
N32/all_gpt_4o/seed_0006,32,correct_consensus,1300,300,1600,0.1875,33.54439921654172,0.068
N32/all_gpt_4o/seed_0033,32,correct_consensus,1300,300,1600,0.1875,36.42860893039609,0.187
N32/all_gpt_4o/seed_0004,32,correct_consensus,1291,309,1600,0.193125,28.109774983627574,-0.187
N32/all_gpt_4o/seed_0032,32,correct_consensus,1280,320,1600,0.2,26.191013810905726,-0.28900000000000003
N32/all_gpt_4o/seed_0049,32,polarization,1247,353,1600,0.220625,32,0
N32/all_gpt_4o/seed_0042,32,correct_consensus,1226,374,1600,0.23375,34.34432916459051,0.10200000000000001
N32/all_gpt_4o/seed_0038,32,correct_consensus,1243,357,1600,0.223125,29.466422310561278,-0.11900000000000001
N32/all_gpt_4o/seed_0052,32,fragmentation,1124,476,1600,0.2975,30.169105149383665,-0.085
N32/all_gpt_4o/seed_0034,32,polarization,1200,400,1600,0.25,32,0
N32/all_gpt_4o/seed_0051,32,fragmentation,1150,450,1600,0.28125,32,0
N32/all_gpt_4o/seed_0003,32,polarization,1100,500,1600,0.3125,32,0
N32/all_gpt_4o/seed_0045,32,polarization,1034,566,1600,0.35375,32,0
N32/all_gpt_4o/seed_0001,32,correct_consensus,1003,597,1600,0.373125,30.52670561752186,-0.068
N32/all_gpt_4o/seed_0009,32,polarization,978,622,1600,0.38875,32.37930243286172,0.017
N32/all_gpt_4o/seed_0008,32,polarization,950,650,1600,0.40625,30.52670561752186,-0.068
N32/all_gpt_4o/seed_0040,32,polarization,927,673,1600,0.420625,32.37930243286172,0.017
N32/all_gpt_4o/seed_0020,32,polarization,861,739,1600,0.461875,32,0
N32/all_gpt_4o/seed_0014,32,polarization,844,756,1600,0.4725,29.81569373775274,-0.10200000000000001
N32/all_gpt_4o/seed_0018,32,polarization,818,782,1600,0.48875,32,0
N32/all_gpt_4o/seed_0050,32,polarization,800,800,1600,0.5,29.81569373775274,-0.10200000000000001
N32/all_gpt_4o/seed_0013,32,polarization,798,802,1600,0.50125,34.34432916459051,0.10200000000000001
N32/all_gpt_4o/seed_0041,32,polarization,770,830,1600,0.51875,32,0
N32/all_gpt_4o/seed_0023,32,correct_consensus,721,879,1600,0.549375,32,0
N32/all_gpt_4o/seed_0037,32,polarization,646,954,1600,0.59625,32,0
N32/all_gpt_4o/seed_0047,32,polarization,600,1000,1600,0.625,32,0
N32/all_gpt_4o/seed_0044,32,polarization,454,1146,1600,0.71625,32,0
N32/all_gpt_4o/seed_0007,32,polarization,336,1264,1600,0.79,32,0
N64/all_gpt_4o/seed_0002,64,correct_consensus,3173,27,3200,0.0084375,58.932844621122555,-0.11900000000000001
N64/all_gpt_4o/seed_0043,64,correct_consensus,3174,26,3200,0.008125,64,0
N64/all_gpt_4o/seed_0039,64,correct_consensus,2913,287,3200,0.0896875,64,0
N64/all_gpt_4o/seed_0015,64,correct_consensus,2908,292,3200,0.09125,58.932844621122555,-0.11900000000000001
N64/all_gpt_4o/seed_0010,64,correct_consensus,3000,200,3200,0.0625,64,0
N64/all_gpt_4o/seed_0024,64,wrong_consensus,2356,844,3200,0.26375,59.63138747550548,-0.10200000000000001
N64/all_gpt_4o/seed_0034,64,fragmentation,2780,420,3200,0.13125,64,0
N64/all_gpt_4o/seed_0005,64,correct_consensus,2732,468,3200,0.14625,67.88401544756589,0.085
N64/all_gpt_4o/seed_0033,64,correct_consensus,2750,450,3200,0.140625,59.63138747550548,-0.10200000000000001
N64/all_gpt_4o/seed_0027,64,correct_consensus,2610,590,3200,0.184375,58.932844621122555,-0.11900000000000001
N64/all_gpt_4o/seed_0032,64,polarization,2615,585,3200,0.1828125,64,0
N64/all_gpt_4o/seed_0042,64,correct_consensus,2492,708,3200,0.22125,65.5262016274203,0.034
N64/all_gpt_4o/seed_0014,64,correct_consensus,2545,655,3200,0.2046875,61.777089591792446,-0.051000000000000004
N64/all_gpt_4o/seed_0038,64,correct_consensus,2460,740,3200,0.23125,61.05341123504372,-0.068
N64/all_gpt_4o/seed_0006,64,correct_consensus,2400,800,3200,0.25,64,0
N64/all_gpt_4o/seed_0050,64,polarization,2251,949,3200,0.2965625,64,0
N64/all_gpt_4o/seed_0051,64,polarization,2200,1000,3200,0.3125,60.33821029876733,-0.085
N64/all_gpt_4o/seed_0004,64,correct_consensus,2150,1050,3200,0.328125,64,0
N64/all_gpt_4o/seed_0001,64,correct_consensus,2062,1138,3200,0.355625,64,0
N64/all_gpt_4o/seed_0009,64,polarization,2047,1153,3200,0.3603125,59.63138747550548,-0.10200000000000001
N64/all_gpt_4o/seed_0049,64,polarization,1907,1293,3200,0.4040625,64,0
N64/all_gpt_4o/seed_0045,64,polarization,1906,1294,3200,0.404375,58.932844621122555,-0.11900000000000001
N64/all_gpt_4o/seed_0003,64,polarization,1900,1300,3200,0.40625,69.50283880462683,0.11900000000000001
N64/all_gpt_4o/seed_0040,64,polarization,1865,1335,3200,0.4171875,54.910113947436216,-0.22100000000000003
N64/all_gpt_4o/seed_0052,64,polarization,1859,1341,3200,0.4190625,74.59463668061181,0.22100000000000003
N64/all_gpt_4o/seed_0008,64,polarization,1850,1350,3200,0.421875,61.777089591792446,-0.051000000000000004
N64/all_gpt_4o/seed_0023,64,correct_consensus,1689,1511,3200,0.4721875,64,0
N64/all_gpt_4o/seed_0018,64,polarization,1629,1571,3200,0.4909375,67.08879843308344,0.068
N64/all_gpt_4o/seed_0047,64,polarization,1630,1570,3200,0.490625,60.33821029876733,-0.085
N64/all_gpt_4o/seed_0013,64,polarization,1499,1701,3200,0.5315625,64,0
N64/all_gpt_4o/seed_0037,64,fragmentation,1492,1708,3200,0.53375,58.932844621122555,-0.11900000000000001
N64/all_gpt_4o/seed_0048,64,polarization,1400,1800,3200,0.5625,64,0
N64/all_gpt_4o/seed_0041,64,polarization,1294,1906,3200,0.595625,64,0
N64/all_gpt_4o/seed_0044,64,polarization,1013,2187,3200,0.6834375,64,0
N64/all_gpt_4o/seed_0020,64,wrong_consensus,943,2257,3200,0.7053125,61.777089591792446,-0.051000000000000004
N64/all_gpt_4o/seed_0036,64,polarization,678,2522,3200,0.788125,64,0
N64/all_gpt_4o/seed_0007,64,polarization,570,2630,3200,0.821875,64,0
N128/all_gpt_4o/seed_0005,128,correct_consensus,6400,0,6400,0.0,128,0
N128/all_gpt_4o/seed_0002,128,correct_consensus,6332,68,6400,0.010625,109.82022789487243,-0.22100000000000003
N128/all_gpt_4o/seed_0043,128,correct_consensus,6337,63,6400,0.00984375,119.26277495101095,-0.10200000000000001
N128/all_gpt_4o/seed_0039,128,correct_consensus,6324,76,6400,0.011875,103.5368125903026,-0.30600000000000005
N128/all_gpt_4o/seed_0015,128,correct_consensus,5941,459,6400,0.07171875,128,0
N128/all_gpt_4o/seed_0024,128,correct_consensus,4959,1441,6400,0.22515625,128,0
N128/all_gpt_4o/seed_0010,128,correct_consensus,5700,700,6400,0.109375,128,0
N128/all_gpt_4o/seed_0034,128,polarization,5480,920,6400,0.14375,128,0
N128/all_gpt_4o/seed_0038,128,correct_consensus,5162,1238,6400,0.1934375,128,0
N128/all_gpt_4o/seed_0032,128,fragmentation,5270,1130,6400,0.1765625,113.77186318932098,-0.17
N128/all_gpt_4o/seed_0033,128,correct_consensus,5350,1050,6400,0.1640625,122.10682247008744,-0.068
N128/all_gpt_4o/seed_0042,128,correct_consensus,5036,1364,6400,0.213125,111.12194913293348,-0.20400000000000001
N128/all_gpt_4o/seed_0006,128,correct_consensus,5100,1300,6400,0.203125,119.26277495101095,-0.10200000000000001
N128/all_gpt_4o/seed_0014,128,correct_consensus,4838,1562,6400,0.2440625,122.10682247008744,-0.068
N128/all_gpt_4o/seed_0050,128,polarization,4452,1948,6400,0.304375,128,0
N128/all_gpt_4o/seed_0049,128,polarization,4048,2352,6400,0.3675,128,0
N128/all_gpt_4o/seed_0001,128,correct_consensus,3969,2431,6400,0.37984375,103.5368125903026,-0.30600000000000005
N128/all_gpt_4o/seed_0051,128,polarization,4000,2400,6400,0.375,119.26277495101095,-0.10200000000000001
N128/all_gpt_4o/seed_0004,128,polarization,4000,2400,6400,0.375,109.82022789487243,-0.22100000000000003
N128/all_gpt_4o/seed_0009,128,polarization,3830,2570,6400,0.4015625,128,0
N128/all_gpt_4o/seed_0045,128,polarization,3814,2586,6400,0.4040625,117.86568924224511,-0.11900000000000001
N128/all_gpt_4o/seed_0040,128,polarization,3669,2731,6400,0.42671875,128,0
N128/all_gpt_4o/seed_0044,128,polarization,3606,2794,6400,0.4365625,119.26277495101095,-0.10200000000000001
N128/all_gpt_4o/seed_0023,128,correct_consensus,3523,2877,6400,0.44953125,111.12194913293348,-0.20400000000000001
N128/all_gpt_4o/seed_0052,128,polarization,3497,2903,6400,0.45359375,120.67642059753466,-0.085
N128/all_gpt_4o/seed_0008,128,polarization,3500,2900,6400,0.453125,128,0
N128/all_gpt_4o/seed_0003,128,polarization,3500,2900,6400,0.453125,103.5368125903026,-0.30600000000000005
N128/all_gpt_4o/seed_0018,128,polarization,3416,2984,6400,0.46625,115.12042395491224,-0.15300000000000002
N128/all_gpt_4o/seed_0013,128,polarization,3090,3310,6400,0.5171875,128,0
N128/all_gpt_4o/seed_0037,128,polarization,3013,3387,6400,0.52921875,119.26277495101095,-0.10200000000000001
N128/all_gpt_4o/seed_0047,128,polarization,3000,3400,6400,0.53125,109.82022789487243,-0.22100000000000003
N128/all_gpt_4o/seed_0041,128,polarization,2846,3554,6400,0.5553125,128,0
N128/all_gpt_4o/seed_0020,128,polarization,2208,4192,6400,0.655,128,0
N128/all_gpt_4o/seed_0036,128,polarization,1348,5052,6400,0.789375,128,0
N128/all_gpt_4o/seed_0007,128,polarization,1317,5083,6400,0.79421875,119.26277495101095,-0.10200000000000001
