pair_id,pair_key,truth_country,crop_path,crop_informativeness_label,crop_compatible_country_count,crop_compatible_countries,manual_notes,gpt_4o_choice_country,gpt_4o_reason,gpt_4o_exact_correct,gpt_4o_cache_crop_compatible,gpt_4o_auto_label,manual_gpt_4o_label,manual_gpt_4o_notes,gpt_5_4_choice_country,gpt_5_4_reason,gpt_5_4_exact_correct,gpt_5_4_cache_crop_compatible,gpt_5_4_auto_label,manual_gpt_5_4_label,manual_gpt_5_4_notes
bahamas__idx128__t06_l14_h04_w06,bahamas__idx128__t06_l14_h04_w06|3,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx128__t06_l14_h04_w06.png,moderate,9,Belgium | Chad | Gabon | Germany | Guinea | Lithuania | Mali | Ukraine | Bahamas,,Ukraine,The flag of Ukraine has a yellow stripe.,False,True,compatible,,,Ukraine,"The visible crop is a solid yellow band, which matches the bottom half of Ukraine's blue-over-yellow flag.",False,True,compatible,,
bahamas__idx132__t06_l18_h04_w06,bahamas__idx132__t06_l18_h04_w06|3,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx132__t06_l18_h04_w06.png,moderate,9,Belgium | Chad | Gabon | Germany | Guinea | Lithuania | Mali | Ukraine | Bahamas,,Belgium,The flag of Belgium contains a vertical yellow stripe.,False,True,compatible,,,Ukraine,"The crop shows a simple horizontal bicolor with yellow on the lower half and blue implied above, matching Ukraine.",False,True,compatible,,
bahamas__idx152__t08_l00_h04_w06,bahamas__idx152__t08_l00_h04_w06|3,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx152__t08_l00_h04_w06.png,moderate,7,Belgium | Estonia | Germany | Yemen | Bahamas | Palestine | Sudan,,Germany,"The flag has horizontal black, red, and yellow stripes.",False,True,compatible,,,Germany,"The crop appears entirely black, which most plausibly matches the black horizontal stripe of Germany's flag among the allowed options.",False,True,compatible,,
bahamas__idx194__t10_l04_h04_w06,bahamas__idx194__t10_l04_h04_w06|3,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx194__t10_l04_h04_w06.png,unique,1,Bahamas,,Bahamas,The flag has a black triangle and blue and yellow stripes.,True,True,correct,,,Bahamas,"The crop shows a black triangle at the hoist with yellow over blue horizontal bands, matching the flag of the Bahamas.",True,True,correct,,
bahamas__idx201__t10_l11_h04_w06,bahamas__idx201__t10_l11_h04_w06|3,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx201__t10_l11_h04_w06.png,unique,1,Bahamas,,Ukraine,The flag has horizontal stripes of blue and yellow.,False,False,off_cache,,,Ukraine,"The crop shows two horizontal bands with yellow on top and blue on the bottom, matching the flag of Ukraine.",False,False,off_cache,,
bahamas__idx223__t11_l14_h04_w06,bahamas__idx223__t11_l14_h04_w06|3,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx223__t11_l14_h04_w06.png,narrow,2,Luxembourg | Bahamas,,Bahamas,The light blue color is prominent in the Bahamas flag.,True,True,correct,,,Luxembourg,"The crop shows a light blue horizontal band, which best matches the bottom stripe of Luxembourg's red-white-light blue flag.",False,True,compatible,,
bahamas__idx234__t12_l06_h04_w06,bahamas__idx234__t12_l06_h04_w06|3,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx234__t12_l06_h04_w06.png,narrow,2,Luxembourg | Bahamas,,Ukraine,The light blue color is a prominent feature of the Ukrainian flag.,False,False,off_cache,,,Ukraine,"The crop shows a light blue horizontal band over a lighter lower band, matching the blue-over-yellow layout of Ukraine.",False,False,off_cache,,
bahamas__idx241__t12_l13_h04_w06,bahamas__idx241__t12_l13_h04_w06|3,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx241__t12_l13_h04_w06.png,narrow,2,Luxembourg | Bahamas,,Bahamas,The light blue color is prominent in the Bahamas flag.,True,True,correct,,,Ukraine,"The crop shows a light blue horizontal band, which most strongly matches the top half of Ukraine's blue-over-yellow flag.",False,False,off_cache,,
belgium__idx038__t02_l00_h04_w06,belgium__idx038__t02_l00_h04_w06|3,Belgium,results/flag_game/visual_only_paired_crop_audit/artifacts/belgium__idx038__t02_l00_h04_w06.png,moderate,7,Belgium | Estonia | Germany | Yemen | Bahamas | Palestine | Sudan,,Estonia,"The flag has a horizontal black stripe, which is part of Estonia's flag.",False,True,compatible,,,Bahamas,"The crop appears entirely black, which most plausibly matches the black triangle portion of the Bahamas flag.",False,True,compatible,,
belgium__idx056__t02_l18_h04_w06,belgium__idx056__t02_l18_h04_w06|3,Belgium,results/flag_game/visual_only_paired_crop_audit/artifacts/belgium__idx056__t02_l18_h04_w06.png,ambiguous,20,Armenia | Austria | Belgium | Bulgaria | Chad | France | Germany | Guinea | Hungary | Italy | Lithuania | Luxembourg | Mali | Netherlands | Peru | Russia | Yemen | Czech Republic | Palestine | Sudan,,Austria,The flag of Austria has a prominent red color.,False,True,compatible,,,Austria,"The crop shows a solid red horizontal band, which matches the top stripe of Austria's red-white-red flag.",False,True,compatible,,
belgium__idx136__t07_l03_h04_w06,belgium__idx136__t07_l03_h04_w06|3,Belgium,results/flag_game/visual_only_paired_crop_audit/artifacts/belgium__idx136__t07_l03_h04_w06.png,unique,1,Belgium,,Belgium,"The flag has a vertical black and yellow stripe, similar to Belgium's flag.",True,True,correct,,,Belgium,"The crop shows a black vertical band next to a yellow vertical band, matching the left and center stripes of Belgium's flag.",True,True,correct,,
belgium__idx205__t10_l15_h04_w06,belgium__idx205__t10_l15_h04_w06|3,Belgium,results/flag_game/visual_only_paired_crop_audit/artifacts/belgium__idx205__t10_l15_h04_w06.png,narrow,3,Belgium | Chad | Mali,,Guinea,"The flag has vertical stripes of red, yellow, and green.",False,False,off_cache,,,Belgium,"The crop shows a vertical yellow band at the hoist next to a red field, matching Belgium's black-yellow-red vertical tricolor with the black likely cropped out.",True,True,correct,,
bulgaria__idx075__t03_l18_h04_w06,bulgaria__idx075__t03_l18_h04_w06|3,Bulgaria,paper/figures/data/raw/visual_only_paired_crop_audit/artifacts/bulgaria__idx075__t03_l18_h04_w06.png,unique,1,Bulgaria,,Bulgaria,"The flag has a white and green horizontal stripe, similar to Bulgaria's flag.",True,True,correct,,,Nigeria,"The crop shows a horizontal white band over a green band, consistent with the lower portion of Nigeria's vertical green-white-green flag.",False,False,off_cache,,
bulgaria__idx203__t10_l13_h04_w06,bulgaria__idx203__t10_l13_h04_w06|3,Bulgaria,results/flag_game/visual_only_paired_crop_audit/artifacts/bulgaria__idx203__t10_l13_h04_w06.png,narrow,2,Bulgaria | Lithuania,,Bulgaria,"The flag has a green stripe on top and a red stripe below, similar to Bulgaria's flag.",True,True,correct,,,Bulgaria,"The crop shows a horizontal green stripe above a red stripe, matching the lower two bands of Bulgaria's white-green-red flag.",True,True,correct,,
bulgaria__idx210__t11_l01_h04_w06,bulgaria__idx210__t11_l01_h04_w06|3,Bulgaria,results/flag_game/visual_only_paired_crop_audit/artifacts/bulgaria__idx210__t11_l01_h04_w06.png,ambiguous,20,Armenia | Austria | Belgium | Bulgaria | Chad | France | Germany | Guinea | Hungary | Italy | Lithuania | Luxembourg | Mali | Netherlands | Peru | Russia | Yemen | Czech Republic | Palestine | Sudan,,Peru,"The flag of Peru has a red section, which matches the crop.",False,True,compatible,,,Austria,The crop shows a solid red horizontal band consistent with the top or bottom stripe of Austria's red-white-red flag.,False,True,compatible,,
chad__idx115__t06_l01_h04_w06,chad__idx115__t06_l01_h04_w06|3,Chad,results/flag_game/visual_only_paired_crop_audit/artifacts/chad__idx115__t06_l01_h04_w06.png,ambiguous,10,Armenia | Chad | Estonia | France | Gabon | Netherlands | Russia | Sierra Leone | Ukraine | Czech Republic,,Ukraine,"The flag of Ukraine has a blue stripe, which matches the color seen in the crop.",False,True,compatible,,,Ukraine,"The crop shows a blue horizontal band over a lighter lower band, matching the blue-over-yellow design of Ukraine.",False,True,compatible,,
chad__idx127__t06_l13_h04_w06,chad__idx127__t06_l13_h04_w06|3,Chad,results/flag_game/visual_only_paired_crop_audit/artifacts/chad__idx127__t06_l13_h04_w06.png,narrow,3,Belgium | Chad | Mali,,Belgium,"The flag has vertical stripes of black, yellow, and red.",False,True,compatible,,,Belgium,"The crop shows two vertical bands, yellow and red, matching the middle and right stripes of Belgium's black-yellow-red flag.",False,True,compatible,,
chad__idx141__t07_l08_h04_w06,chad__idx141__t07_l08_h04_w06|3,Chad,results/flag_game/visual_only_paired_crop_audit/artifacts/chad__idx141__t07_l08_h04_w06.png,moderate,9,Belgium | Chad | Gabon | Germany | Guinea | Lithuania | Mali | Ukraine | Bahamas,,Ukraine,The flag of Ukraine has a yellow stripe.,False,True,compatible,,,Ukraine,"The visible crop is a solid golden-yellow band, which matches the bottom half of Ukraine's blue-over-yellow flag.",False,True,compatible,,
chad__idx174__t09_l03_h04_w06,chad__idx174__t09_l03_h04_w06|3,Chad,results/flag_game/visual_only_paired_crop_audit/artifacts/chad__idx174__t09_l03_h04_w06.png,unique,1,Chad,,Ukraine,"The flag has blue and yellow colors, similar to Ukraine's flag.",False,False,off_cache,,,Ukraine,"The crop shows a strong blue field with a vertical yellow section, matching the blue-and-yellow colors of Ukraine.",False,False,off_cache,,
cote_d_ivoire__idx101__t05_l06_h04_w06,cote_d_ivoire__idx101__t05_l06_h04_w06|3,Cote d'Ivoire,paper/figures/data/raw/visual_only_paired_crop_audit/artifacts/cote_d_ivoire__idx101__t05_l06_h04_w06.png,unique,1,Cote d'Ivoire,,Cote d'Ivoire,"The flag has vertical stripes of orange and white, matching Cote d'Ivoire.",True,True,correct,,,Ireland,"The crop shows a vertical orange band next to a white band, matching the left and center of Ireland's tricolor.",False,False,off_cache,,
cote_d_ivoire__idx151__t07_l18_h04_w06,cote_d_ivoire__idx151__t07_l18_h04_w06|3,Cote d'Ivoire,results/flag_game/visual_only_paired_crop_audit/artifacts/cote_d_ivoire__idx151__t07_l18_h04_w06.png,ambiguous,13,Bulgaria | Cote d'Ivoire | Gabon | Guinea | Hungary | Ireland | Italy | Lithuania | Mali | Nigeria | Sierra Leone | Palestine | Sudan,,Nigeria,"The flag of Nigeria has a green stripe, which matches the crop.",False,True,compatible,,,Nigeria,"The crop shows a solid green vertical band, matching one side of Nigeria's green-white-green flag.",False,True,compatible,,
cote_d_ivoire__idx184__t09_l13_h04_w06,cote_d_ivoire__idx184__t09_l13_h04_w06|3,Cote d'Ivoire,results/flag_game/visual_only_paired_crop_audit/artifacts/cote_d_ivoire__idx184__t09_l13_h04_w06.png,narrow,2,Cote d'Ivoire | Nigeria,,Nigeria,The flag has vertical stripes of green and white.,False,True,compatible,,,Nigeria,"The crop shows a vertical green-white-green tricolor, which matches the flag of Nigeria.",False,True,compatible,,
czech_republic__idx007__t00_l07_h04_w06,czech_republic__idx007__t00_l07_h04_w06|3,Czech Republic,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx007__t00_l07_h04_w06.png,ambiguous,18,Austria | Bulgaria | Cote d'Ivoire | Estonia | France | Hungary | Ireland | Italy | Luxembourg | Netherlands | Nigeria | Peru | Russia | Sierra Leone | Yemen | Czech Republic | Palestine | Sudan,,France,"The flag has a vertical blue stripe, which is part of the French flag.",False,True,compatible,,,Austria,"The crop shows a plain white horizontal band, which matches the central stripe of Austria's red-white-red flag.",False,True,compatible,,
czech_republic__idx043__t02_l05_h04_w06,czech_republic__idx043__t02_l05_h04_w06|3,Czech Republic,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx043__t02_l05_h04_w06.png,unique,1,Czech Republic,,Czech Republic,"The flag has a blue triangle on the left side, which matches the Czech Republic flag.",True,True,correct,,,Czech Republic,"The crop shows a blue triangular wedge at the hoist with white above, matching the Czech Republic flag.",True,True,correct,,
czech_republic__idx073__t03_l16_h04_w06,czech_republic__idx073__t03_l16_h04_w06|3,Czech Republic,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx073__t03_l16_h04_w06.png,ambiguous,18,Austria | Bulgaria | Cote d'Ivoire | Estonia | France | Hungary | Ireland | Italy | Luxembourg | Netherlands | Nigeria | Peru | Russia | Sierra Leone | Yemen | Czech Republic | Palestine | Sudan,,France,"The flag has a vertical blue stripe, which is part of the French flag.",False,True,compatible,,,Luxembourg,The crop shows a very light top horizontal band consistent with the white stripe of Luxembourg's red-white-light blue tricolor.,False,True,compatible,,
czech_republic__idx105__t05_l10_h04_w06,czech_republic__idx105__t05_l10_h04_w06|3,Czech Republic,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx105__t05_l10_h04_w06.png,unique,1,Czech Republic,,Czech Republic,The flag has a blue triangle with white and red horizontal stripes.,True,True,correct,,,Czech Republic,"The flag shows white over red horizontal bands with a blue triangle at the hoist, which matches the Czech Republic.",True,True,correct,,
czech_republic__idx115__t06_l01_h04_w06,czech_republic__idx115__t06_l01_h04_w06|3,Czech Republic,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx115__t06_l01_h04_w06.png,ambiguous,10,Armenia | Chad | Estonia | France | Gabon | Netherlands | Russia | Sierra Leone | Ukraine | Czech Republic,,Estonia,The flag of Estonia includes a blue stripe.,False,True,compatible,,,Ukraine,"The crop shows a simple horizontal bicolor with blue on top and yellow on the bottom, which matches Ukraine.",False,True,compatible,,
czech_republic__idx133__t07_l00_h04_w06,czech_republic__idx133__t07_l00_h04_w06|3,Czech Republic,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx133__t07_l00_h04_w06.png,ambiguous,10,Armenia | Chad | Estonia | France | Gabon | Netherlands | Russia | Sierra Leone | Ukraine | Czech Republic,,Ukraine,"The flag of Ukraine has a blue stripe, which matches the color shown.",False,True,compatible,,,Ukraine,"The crop shows the top half of a blue-over-yellow horizontal bicolor, which matches Ukraine.",False,True,compatible,,
czech_republic__idx175__t09_l04_h04_w06,czech_republic__idx175__t09_l04_h04_w06|3,Czech Republic,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx175__t09_l04_h04_w06.png,unique,1,Czech Republic,,Czech Republic,"The flag has a blue triangle and a red section, similar to the Czech Republic's flag.",True,True,correct,,,Czech Republic,"The crop shows a blue triangular wedge at the hoist with white and red horizontal fields, matching the flag of the Czech Republic.",True,True,correct,,
czech_republic__idx176__t09_l05_h04_w06,czech_republic__idx176__t09_l05_h04_w06|3,Czech Republic,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx176__t09_l05_h04_w06.png,unique,1,Czech Republic,,Czech Republic,The flag has a blue triangle and red and white horizontal stripes.,True,True,correct,,,Czech Republic,"The crop shows a blue triangle at the hoist with white-red horizontal fields, matching the Czech Republic flag.",True,True,correct,,
estonia__idx037__t01_l18_h04_w06,estonia__idx037__t01_l18_h04_w06|3,Estonia,results/flag_game/visual_only_paired_crop_audit/artifacts/estonia__idx037__t01_l18_h04_w06.png,ambiguous,10,Armenia | Chad | Estonia | France | Gabon | Netherlands | Russia | Sierra Leone | Ukraine | Czech Republic,,Ukraine,"The flag of Ukraine has a blue stripe, which matches the color seen in the crop.",False,True,compatible,,,Ukraine,"The crop shows a horizontal blue band over yellow, matching the flag of Ukraine.",False,True,compatible,,
estonia__idx132__t06_l18_h04_w06,estonia__idx132__t06_l18_h04_w06|3,Estonia,results/flag_game/visual_only_paired_crop_audit/artifacts/estonia__idx132__t06_l18_h04_w06.png,moderate,7,Belgium | Estonia | Germany | Yemen | Bahamas | Palestine | Sudan,,Germany,"The flag has horizontal black, red, and gold stripes.",False,True,compatible,,,Germany,"The crop appears entirely black, which most plausibly matches the black horizontal stripe of Germany's flag.",False,True,compatible,,
estonia__idx159__t08_l07_h04_w06,estonia__idx159__t08_l07_h04_w06|3,Estonia,results/flag_game/visual_only_paired_crop_audit/artifacts/estonia__idx159__t08_l07_h04_w06.png,unique,1,Estonia,,Yemen,"The flag has a black stripe, which is part of Yemen's flag.",False,False,off_cache,,,Austria,"The crop shows two horizontal bands with white above red, matching the middle and bottom of Austria's red-white-red flag.",False,False,off_cache,,
france__idx126__t06_l12_h04_w06,france__idx126__t06_l12_h04_w06|3,France,results/flag_game/visual_only_paired_crop_audit/artifacts/france__idx126__t06_l12_h04_w06.png,narrow,3,France | Italy | Peru,,Peru,The flag has vertical stripes of red and white.,False,True,compatible,,,Peru,"The crop shows a vertical tricolor of white, white center implied, and red on the right, matching Peru's red-white-red flag.",False,True,compatible,,
france__idx161__t08_l09_h04_w06,france__idx161__t08_l09_h04_w06|3,France,results/flag_game/visual_only_paired_crop_audit/artifacts/france__idx161__t08_l09_h04_w06.png,ambiguous,18,Austria | Bulgaria | Cote d'Ivoire | Estonia | France | Hungary | Ireland | Italy | Luxembourg | Netherlands | Nigeria | Peru | Russia | Sierra Leone | Yemen | Czech Republic | Palestine | Sudan,,Nigeria,"The flag has a vertical green stripe, which matches Nigeria's flag colors.",False,True,compatible,,,Austria,"The crop shows a plain white horizontal band, which matches the middle stripe of Austria's red-white-red flag.",False,True,compatible,,
france__idx176__t09_l05_h04_w06,france__idx176__t09_l05_h04_w06|3,France,results/flag_game/visual_only_paired_crop_audit/artifacts/france__idx176__t09_l05_h04_w06.png,unique,1,France,,Guinea,The flag has a vertical blue stripe similar to Guinea's flag colors.,False,False,off_cache,,,France,"The crop shows adjacent vertical blue and white bands, matching the left and middle stripes of France's blue-white-red tricolor.",True,True,correct,,
gabon__idx031__t01_l12_h04_w06,gabon__idx031__t01_l12_h04_w06|3,Gabon,results/flag_game/visual_only_paired_crop_audit/artifacts/gabon__idx031__t01_l12_h04_w06.png,ambiguous,13,Bulgaria | Cote d'Ivoire | Gabon | Guinea | Hungary | Ireland | Italy | Lithuania | Mali | Nigeria | Sierra Leone | Palestine | Sudan,,Nigeria,"The flag of Nigeria has a green stripe, which matches the crop shown.",False,True,compatible,,,Nigeria,"The crop shows a solid green vertical band on the left, matching the left stripe of Nigeria's green-white-green flag.",False,True,compatible,,
gabon__idx084__t04_l08_h04_w06,gabon__idx084__t04_l08_h04_w06|3,Gabon,paper/figures/data/raw/visual_only_paired_crop_audit/artifacts/gabon__idx084__t04_l08_h04_w06.png,unique,1,Gabon,,Gabon,"The flag has horizontal stripes of green and yellow, which are part of Gabon's flag.",True,True,correct,,,Lithuania,"The flag shows three horizontal stripes of green, yellow, and red, which matches Lithuania.",False,False,off_cache,,
gabon__idx127__t06_l13_h04_w06,gabon__idx127__t06_l13_h04_w06|3,Gabon,results/flag_game/visual_only_paired_crop_audit/artifacts/gabon__idx127__t06_l13_h04_w06.png,moderate,9,Belgium | Chad | Gabon | Germany | Guinea | Lithuania | Mali | Ukraine | Bahamas,,Chad,The flag of Chad contains a vertical yellow stripe.,False,True,compatible,,,Ukraine,"The crop shows a solid yellow horizontal band, which matches the bottom half of Ukraine's blue-over-yellow flag.",False,True,compatible,,
germany__idx048__t02_l10_h04_w06,germany__idx048__t02_l10_h04_w06|3,Germany,results/flag_game/visual_only_paired_crop_audit/artifacts/germany__idx048__t02_l10_h04_w06.png,unique,1,Germany,,Yemen,"The flag has a black and red horizontal stripe, similar to Yemen's flag.",False,False,off_cache,,,Germany,"The crop shows horizontal black over red bands, matching the top two stripes of Germany's black-red-gold flag.",True,True,correct,,
germany__idx127__t06_l13_h04_w06,germany__idx127__t06_l13_h04_w06|3,Germany,results/flag_game/visual_only_paired_crop_audit/artifacts/germany__idx127__t06_l13_h04_w06.png,ambiguous,20,Armenia | Austria | Belgium | Bulgaria | Chad | France | Germany | Guinea | Hungary | Italy | Lithuania | Luxembourg | Mali | Netherlands | Peru | Russia | Yemen | Czech Republic | Palestine | Sudan,,Austria,"The flag of Austria has a red stripe, which matches the crop.",False,True,compatible,,,Austria,"The crop shows a solid red horizontal band, which matches the top or bottom stripe of Austria's red-white-red flag.",False,True,compatible,,
germany__idx234__t12_l06_h04_w06,germany__idx234__t12_l06_h04_w06|3,Germany,results/flag_game/visual_only_paired_crop_audit/artifacts/germany__idx234__t12_l06_h04_w06.png,moderate,9,Belgium | Chad | Gabon | Germany | Guinea | Lithuania | Mali | Ukraine | Bahamas,,Chad,The flag of Chad has a vertical yellow stripe.,False,True,compatible,,,Ukraine,"The crop shows a solid yellow horizontal band, which matches the bottom half of Ukraine's blue-over-yellow flag.",False,True,compatible,,
guinea__idx002__t00_l02_h04_w06,guinea__idx002__t00_l02_h04_w06|3,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx002__t00_l02_h04_w06.png,ambiguous,20,Armenia | Austria | Belgium | Bulgaria | Chad | France | Germany | Guinea | Hungary | Italy | Lithuania | Luxembourg | Mali | Netherlands | Peru | Russia | Yemen | Czech Republic | Palestine | Sudan,,Yemen,"The flag of Yemen contains a red stripe, which matches the crop shown.",False,True,compatible,,,Austria,The crop shows a solid red horizontal band consistent with the top stripe of Austria's red-white-red flag.,False,True,compatible,,
guinea__idx029__t01_l10_h04_w06,guinea__idx029__t01_l10_h04_w06|3,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx029__t01_l10_h04_w06.png,moderate,9,Belgium | Chad | Gabon | Germany | Guinea | Lithuania | Mali | Ukraine | Bahamas,,Ukraine,"The flag of Ukraine has a yellow stripe, which matches the crop.",False,True,compatible,,,Ukraine,"The crop shows a solid yellow horizontal band, which matches the bottom half of Ukraine's blue-over-yellow flag.",False,True,compatible,,
guinea__idx053__t02_l15_h04_w06,guinea__idx053__t02_l15_h04_w06|3,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx053__t02_l15_h04_w06.png,unique,1,Guinea,,Gabon,"The flag has a vertical yellow stripe and a green section, similar to Gabon's flag colors.",False,False,off_cache,,,Mali,"The crop shows vertical bands with yellow on the left and green on the right, matching Mali's green-yellow-red tricolor when viewed from the middle and right portions.",False,False,off_cache,,
guinea__idx065__t03_l08_h04_w06,guinea__idx065__t03_l08_h04_w06|3,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx065__t03_l08_h04_w06.png,moderate,9,Belgium | Chad | Gabon | Germany | Guinea | Lithuania | Mali | Ukraine | Bahamas,,Lithuania,"The flag of Lithuania has a yellow stripe, which matches the crop.",False,True,compatible,,,Ukraine,"The crop shows a solid yellow horizontal band, which matches the bottom half of Ukraine's blue-over-yellow flag.",False,True,compatible,,
