pair_id,truth_country,crop_path,crop_crop_index,crop_top,crop_left,crop_height,crop_width,crop_compatible_country_count,crop_compatible_countries,crop_informativeness_bits,crop_informativeness_label,allowed_countries,seed
czech_republic__idx043__t02_l05_h04_w06,Czech Republic,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx043__t02_l05_h04_w06.png,43,2,5,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Czech Republic"", ""Luxembourg"", ""Hungary"", ""Chad"", ""Peru"", ""Ireland"", ""Bulgaria"", ""Austria"", ""Armenia"", ""Lithuania"", ""Gabon"", ""Ukraine"", ""Belgium"", ""Bahamas"", ""Russia"", ""Estonia"", ""Italy"", ""Palestine"", ""Sudan"", ""Mali"", ""Nigeria"", ""Netherlands"", ""Sierra Leone"", ""Cote d'Ivoire"", ""Guinea"", ""Germany"", ""France"", ""Yemen""]",661283293
czech_republic__idx105__t05_l10_h04_w06,Czech Republic,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx105__t05_l10_h04_w06.png,105,5,10,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Italy"", ""Austria"", ""Palestine"", ""Ireland"", ""Ukraine"", ""Germany"", ""Russia"", ""Hungary"", ""Belgium"", ""Yemen"", ""Guinea"", ""Mali"", ""Luxembourg"", ""Bulgaria"", ""Armenia"", ""Sudan"", ""Estonia"", ""Bahamas"", ""Lithuania"", ""Peru"", ""Nigeria"", ""Czech Republic"", ""Sierra Leone"", ""France"", ""Cote d'Ivoire"", ""Chad"", ""Netherlands"", ""Gabon""]",538922049
czech_republic__idx115__t06_l01_h04_w06,Czech Republic,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx115__t06_l01_h04_w06.png,115,6,1,4,6,10,"[""Armenia"", ""Chad"", ""Estonia"", ""France"", ""Gabon"", ""Netherlands"", ""Russia"", ""Sierra Leone"", ""Ukraine"", ""Czech Republic""]",1.4854268271702418,ambiguous,"[""Austria"", ""Germany"", ""Guinea"", ""Ireland"", ""Cote d'Ivoire"", ""Netherlands"", ""Belgium"", ""Yemen"", ""Italy"", ""Nigeria"", ""Mali"", ""Russia"", ""Chad"", ""Hungary"", ""Estonia"", ""Bahamas"", ""Bulgaria"", ""Peru"", ""Ukraine"", ""Sierra Leone"", ""Czech Republic"", ""France"", ""Luxembourg"", ""Gabon"", ""Sudan"", ""Palestine"", ""Armenia"", ""Lithuania""]",2050880767
czech_republic__idx133__t07_l00_h04_w06,Czech Republic,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx133__t07_l00_h04_w06.png,133,7,0,4,6,10,"[""Armenia"", ""Chad"", ""Estonia"", ""France"", ""Gabon"", ""Netherlands"", ""Russia"", ""Sierra Leone"", ""Ukraine"", ""Czech Republic""]",1.4854268271702418,ambiguous,"[""Belgium"", ""Sudan"", ""France"", ""Luxembourg"", ""Ukraine"", ""Ireland"", ""Mali"", ""Sierra Leone"", ""Estonia"", ""Czech Republic"", ""Germany"", ""Netherlands"", ""Bulgaria"", ""Chad"", ""Italy"", ""Nigeria"", ""Yemen"", ""Gabon"", ""Hungary"", ""Cote d'Ivoire"", ""Guinea"", ""Lithuania"", ""Armenia"", ""Palestine"", ""Austria"", ""Bahamas"", ""Russia"", ""Peru""]",1124299286
czech_republic__idx175__t09_l04_h04_w06,Czech Republic,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx175__t09_l04_h04_w06.png,175,9,4,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Guinea"", ""Sierra Leone"", ""Belgium"", ""Nigeria"", ""Austria"", ""Armenia"", ""Germany"", ""Lithuania"", ""Cote d'Ivoire"", ""Russia"", ""Italy"", ""Ireland"", ""Palestine"", ""Bulgaria"", ""Yemen"", ""Hungary"", ""Ukraine"", ""Luxembourg"", ""Czech Republic"", ""Chad"", ""Mali"", ""Gabon"", ""Estonia"", ""Netherlands"", ""Sudan"", ""Bahamas"", ""France"", ""Peru""]",1369018838
guinea__idx029__t01_l10_h04_w06,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx029__t01_l10_h04_w06.png,29,1,10,4,6,9,"[""Belgium"", ""Chad"", ""Gabon"", ""Germany"", ""Guinea"", ""Lithuania"", ""Mali"", ""Ukraine"", ""Bahamas""]",1.6374299206152918,moderate,"[""Armenia"", ""Russia"", ""Bahamas"", ""Guinea"", ""Ireland"", ""Netherlands"", ""Ukraine"", ""Estonia"", ""Lithuania"", ""Nigeria"", ""Sierra Leone"", ""Sudan"", ""Gabon"", ""Hungary"", ""Cote d'Ivoire"", ""Italy"", ""Germany"", ""Peru"", ""Czech Republic"", ""Palestine"", ""France"", ""Bulgaria"", ""Austria"", ""Luxembourg"", ""Yemen"", ""Mali"", ""Chad"", ""Belgium""]",621098071
guinea__idx065__t03_l08_h04_w06,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx065__t03_l08_h04_w06.png,65,3,8,4,6,9,"[""Belgium"", ""Chad"", ""Gabon"", ""Germany"", ""Guinea"", ""Lithuania"", ""Mali"", ""Ukraine"", ""Bahamas""]",1.6374299206152918,moderate,"[""Lithuania"", ""Sudan"", ""Luxembourg"", ""Ireland"", ""Bulgaria"", ""Netherlands"", ""Peru"", ""Sierra Leone"", ""Hungary"", ""Mali"", ""Estonia"", ""Italy"", ""Palestine"", ""Gabon"", ""Ukraine"", ""Guinea"", ""Germany"", ""Cote d'Ivoire"", ""Belgium"", ""Nigeria"", ""Czech Republic"", ""Chad"", ""France"", ""Austria"", ""Armenia"", ""Bahamas"", ""Russia"", ""Yemen""]",1462498776
guinea__idx087__t04_l11_h04_w06,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx087__t04_l11_h04_w06.png,87,4,11,4,6,1,"[""Guinea""]",4.807354922057604,unique,"[""Germany"", ""Estonia"", ""Peru"", ""Cote d'Ivoire"", ""Luxembourg"", ""Ireland"", ""Gabon"", ""Belgium"", ""Guinea"", ""Nigeria"", ""France"", ""Chad"", ""Austria"", ""Italy"", ""Bulgaria"", ""Yemen"", ""Palestine"", ""Netherlands"", ""Sudan"", ""Hungary"", ""Armenia"", ""Lithuania"", ""Mali"", ""Bahamas"", ""Ukraine"", ""Czech Republic"", ""Russia"", ""Sierra Leone""]",987528861
guinea__idx092__t04_l16_h04_w06,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx092__t04_l16_h04_w06.png,92,4,16,4,6,13,"[""Bulgaria"", ""Cote d'Ivoire"", ""Gabon"", ""Guinea"", ""Hungary"", ""Ireland"", ""Italy"", ""Lithuania"", ""Mali"", ""Nigeria"", ""Sierra Leone"", ""Palestine"", ""Sudan""]",1.1069152039165118,ambiguous,"[""Yemen"", ""Italy"", ""Russia"", ""Ukraine"", ""Lithuania"", ""Nigeria"", ""Bahamas"", ""Czech Republic"", ""Netherlands"", ""Estonia"", ""Sierra Leone"", ""Belgium"", ""Bulgaria"", ""Palestine"", ""Sudan"", ""Gabon"", ""Guinea"", ""Ireland"", ""Armenia"", ""France"", ""Peru"", ""Hungary"", ""Chad"", ""Germany"", ""Mali"", ""Austria"", ""Cote d'Ivoire"", ""Luxembourg""]",1398983167
guinea__idx111__t05_l16_h04_w06,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx111__t05_l16_h04_w06.png,111,5,16,4,6,13,"[""Bulgaria"", ""Cote d'Ivoire"", ""Gabon"", ""Guinea"", ""Hungary"", ""Ireland"", ""Italy"", ""Lithuania"", ""Mali"", ""Nigeria"", ""Sierra Leone"", ""Palestine"", ""Sudan""]",1.1069152039165118,ambiguous,"[""Netherlands"", ""Nigeria"", ""Estonia"", ""Cote d'Ivoire"", ""Yemen"", ""Belgium"", ""Sierra Leone"", ""Mali"", ""Hungary"", ""Bahamas"", ""Italy"", ""Ukraine"", ""Peru"", ""Palestine"", ""Chad"", ""Sudan"", ""France"", ""Gabon"", ""Ireland"", ""Russia"", ""Austria"", ""Bulgaria"", ""Armenia"", ""Czech Republic"", ""Germany"", ""Luxembourg"", ""Lithuania"", ""Guinea""]",1341393679
guinea__idx125__t06_l11_h04_w06,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx125__t06_l11_h04_w06.png,125,6,11,4,6,1,"[""Guinea""]",4.807354922057604,unique,"[""France"", ""Hungary"", ""Chad"", ""Gabon"", ""Nigeria"", ""Yemen"", ""Lithuania"", ""Russia"", ""Austria"", ""Sierra Leone"", ""Armenia"", ""Ukraine"", ""Bulgaria"", ""Peru"", ""Guinea"", ""Estonia"", ""Sudan"", ""Palestine"", ""Czech Republic"", ""Mali"", ""Germany"", ""Luxembourg"", ""Cote d'Ivoire"", ""Bahamas"", ""Italy"", ""Ireland"", ""Netherlands"", ""Belgium""]",1447938333
guinea__idx130__t06_l16_h04_w06,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx130__t06_l16_h04_w06.png,130,6,16,4,6,13,"[""Bulgaria"", ""Cote d'Ivoire"", ""Gabon"", ""Guinea"", ""Hungary"", ""Ireland"", ""Italy"", ""Lithuania"", ""Mali"", ""Nigeria"", ""Sierra Leone"", ""Palestine"", ""Sudan""]",1.1069152039165118,ambiguous,"[""Hungary"", ""Mali"", ""Peru"", ""Gabon"", ""Sierra Leone"", ""Czech Republic"", ""Ukraine"", ""Armenia"", ""Italy"", ""Nigeria"", ""Russia"", ""Palestine"", ""Ireland"", ""Lithuania"", ""Estonia"", ""Austria"", ""Netherlands"", ""Yemen"", ""Belgium"", ""Germany"", ""Bulgaria"", ""Guinea"", ""Chad"", ""Luxembourg"", ""Sudan"", ""Bahamas"", ""Cote d'Ivoire"", ""France""]",638710602
guinea__idx141__t07_l08_h04_w06,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx141__t07_l08_h04_w06.png,141,7,8,4,6,9,"[""Belgium"", ""Chad"", ""Gabon"", ""Germany"", ""Guinea"", ""Lithuania"", ""Mali"", ""Ukraine"", ""Bahamas""]",1.6374299206152918,moderate,"[""Sierra Leone"", ""Netherlands"", ""Mali"", ""Lithuania"", ""Ireland"", ""Italy"", ""Yemen"", ""Peru"", ""Cote d'Ivoire"", ""Ukraine"", ""Germany"", ""Palestine"", ""Nigeria"", ""Guinea"", ""Chad"", ""Russia"", ""Luxembourg"", ""Bulgaria"", ""Armenia"", ""Belgium"", ""France"", ""Estonia"", ""Gabon"", ""Bahamas"", ""Czech Republic"", ""Sudan"", ""Hungary"", ""Austria""]",1985849741
guinea__idx232__t12_l04_h04_w06,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx232__t12_l04_h04_w06.png,232,12,4,4,6,1,"[""Guinea""]",4.807354922057604,unique,"[""Netherlands"", ""Belgium"", ""Palestine"", ""Germany"", ""Estonia"", ""France"", ""Sudan"", ""Chad"", ""Italy"", ""Ireland"", ""Cote d'Ivoire"", ""Bulgaria"", ""Sierra Leone"", ""Hungary"", ""Nigeria"", ""Bahamas"", ""Austria"", ""Russia"", ""Ukraine"", ""Yemen"", ""Luxembourg"", ""Czech Republic"", ""Armenia"", ""Gabon"", ""Guinea"", ""Mali"", ""Lithuania"", ""Peru""]",1441559517
peru__idx000__t00_l00_h04_w06,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx000__t00_l00_h04_w06.png,0,0,0,4,6,20,"[""Armenia"", ""Austria"", ""Belgium"", ""Bulgaria"", ""Chad"", ""France"", ""Germany"", ""Guinea"", ""Hungary"", ""Italy"", ""Lithuania"", ""Luxembourg"", ""Mali"", ""Netherlands"", ""Peru"", ""Russia"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]",0.48542682717024166,ambiguous,"[""Bulgaria"", ""Netherlands"", ""Armenia"", ""Nigeria"", ""Bahamas"", ""Hungary"", ""Mali"", ""Chad"", ""Ireland"", ""Palestine"", ""Sudan"", ""Cote d'Ivoire"", ""Germany"", ""France"", ""Guinea"", ""Estonia"", ""Gabon"", ""Italy"", ""Russia"", ""Peru"", ""Sierra Leone"", ""Czech Republic"", ""Austria"", ""Belgium"", ""Yemen"", ""Luxembourg"", ""Lithuania"", ""Ukraine""]",1480249152
peru__idx002__t00_l02_h04_w06,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx002__t00_l02_h04_w06.png,2,0,2,4,6,20,"[""Armenia"", ""Austria"", ""Belgium"", ""Bulgaria"", ""Chad"", ""France"", ""Germany"", ""Guinea"", ""Hungary"", ""Italy"", ""Lithuania"", ""Luxembourg"", ""Mali"", ""Netherlands"", ""Peru"", ""Russia"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]",0.48542682717024166,ambiguous,"[""Nigeria"", ""Chad"", ""Gabon"", ""Estonia"", ""Russia"", ""Lithuania"", ""Ireland"", ""Armenia"", ""Sudan"", ""Bahamas"", ""Yemen"", ""Germany"", ""Guinea"", ""Palestine"", ""Sierra Leone"", ""France"", ""Mali"", ""Cote d'Ivoire"", ""Peru"", ""Ukraine"", ""Belgium"", ""Austria"", ""Czech Republic"", ""Luxembourg"", ""Bulgaria"", ""Hungary"", ""Italy"", ""Netherlands""]",2020560803
peru__idx014__t00_l14_h04_w06,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx014__t00_l14_h04_w06.png,14,0,14,4,6,3,"[""France"", ""Italy"", ""Peru""]",3.222392421336448,narrow,"[""Gabon"", ""Russia"", ""Chad"", ""Sierra Leone"", ""Estonia"", ""Netherlands"", ""Luxembourg"", ""Belgium"", ""Sudan"", ""Lithuania"", ""Italy"", ""Bulgaria"", ""Bahamas"", ""Peru"", ""Germany"", ""Palestine"", ""France"", ""Ireland"", ""Nigeria"", ""Mali"", ""Austria"", ""Czech Republic"", ""Yemen"", ""Ukraine"", ""Hungary"", ""Armenia"", ""Guinea"", ""Cote d'Ivoire""]",1520714872
peru__idx025__t01_l06_h04_w06,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx025__t01_l06_h04_w06.png,25,1,6,4,6,1,"[""Peru""]",4.807354922057604,unique,"[""Sudan"", ""Guinea"", ""Germany"", ""Ukraine"", ""Ireland"", ""Italy"", ""Armenia"", ""Austria"", ""Chad"", ""Bulgaria"", ""Estonia"", ""Sierra Leone"", ""Gabon"", ""Russia"", ""Hungary"", ""Palestine"", ""Peru"", ""France"", ""Mali"", ""Luxembourg"", ""Nigeria"", ""Yemen"", ""Belgium"", ""Bahamas"", ""Cote d'Ivoire"", ""Czech Republic"", ""Lithuania"", ""Netherlands""]",1000783231
peru__idx067__t03_l10_h04_w06,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx067__t03_l10_h04_w06.png,67,3,10,4,6,18,"[""Austria"", ""Bulgaria"", ""Cote d'Ivoire"", ""Estonia"", ""France"", ""Hungary"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Nigeria"", ""Peru"", ""Russia"", ""Sierra Leone"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]",0.6374299206152918,ambiguous,"[""Italy"", ""Hungary"", ""Yemen"", ""Gabon"", ""Peru"", ""Lithuania"", ""Armenia"", ""Russia"", ""Ukraine"", ""Bulgaria"", ""Nigeria"", ""Luxembourg"", ""Estonia"", ""Sudan"", ""Ireland"", ""Netherlands"", ""Cote d'Ivoire"", ""France"", ""Czech Republic"", ""Mali"", ""Guinea"", ""Bahamas"", ""Germany"", ""Sierra Leone"", ""Austria"", ""Belgium"", ""Chad"", ""Palestine""]",1072677017
peru__idx079__t04_l03_h04_w06,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx079__t04_l03_h04_w06.png,79,4,3,4,6,1,"[""Peru""]",4.807354922057604,unique,"[""Estonia"", ""Russia"", ""Hungary"", ""Austria"", ""Sudan"", ""Italy"", ""Peru"", ""Palestine"", ""Ireland"", ""Sierra Leone"", ""Gabon"", ""Bulgaria"", ""Ukraine"", ""Luxembourg"", ""Armenia"", ""Cote d'Ivoire"", ""Guinea"", ""Lithuania"", ""Germany"", ""Mali"", ""Bahamas"", ""Netherlands"", ""Yemen"", ""Chad"", ""France"", ""Nigeria"", ""Belgium"", ""Czech Republic""]",962033051
peru__idx091__t04_l15_h04_w06,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx091__t04_l15_h04_w06.png,91,4,15,4,6,3,"[""France"", ""Italy"", ""Peru""]",3.222392421336448,narrow,"[""Yemen"", ""Chad"", ""Italy"", ""Bahamas"", ""Russia"", ""Palestine"", ""Estonia"", ""Czech Republic"", ""Sierra Leone"", ""Peru"", ""Lithuania"", ""Nigeria"", ""Luxembourg"", ""Netherlands"", ""Gabon"", ""Cote d'Ivoire"", ""Belgium"", ""Hungary"", ""Austria"", ""Germany"", ""Armenia"", ""France"", ""Ukraine"", ""Sudan"", ""Guinea"", ""Mali"", ""Bulgaria"", ""Ireland""]",1473616746
peru__idx121__t06_l07_h04_w06,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx121__t06_l07_h04_w06.png,121,6,7,4,6,1,"[""Peru""]",4.807354922057604,unique,"[""Estonia"", ""Luxembourg"", ""Austria"", ""Yemen"", ""Bulgaria"", ""Nigeria"", ""Bahamas"", ""Sierra Leone"", ""Lithuania"", ""Guinea"", ""Mali"", ""Ukraine"", ""Ireland"", ""Peru"", ""Chad"", ""Czech Republic"", ""Palestine"", ""Netherlands"", ""Italy"", ""Cote d'Ivoire"", ""Armenia"", ""Russia"", ""Gabon"", ""France"", ""Belgium"", ""Hungary"", ""Germany"", ""Sudan""]",1952702119
peru__idx242__t12_l14_h04_w06,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx242__t12_l14_h04_w06.png,242,12,14,4,6,3,"[""France"", ""Italy"", ""Peru""]",3.222392421336448,narrow,"[""Russia"", ""Luxembourg"", ""Germany"", ""Italy"", ""Hungary"", ""Cote d'Ivoire"", ""Czech Republic"", ""Peru"", ""Gabon"", ""Ukraine"", ""Belgium"", ""Netherlands"", ""Mali"", ""Lithuania"", ""Bahamas"", ""Yemen"", ""Palestine"", ""Ireland"", ""Chad"", ""Sudan"", ""Estonia"", ""Sierra Leone"", ""Armenia"", ""Austria"", ""France"", ""Nigeria"", ""Bulgaria"", ""Guinea""]",853551970
