pair_id,model,m,backend,truth_country,choice_country,reason,valid,correct,choice_crop_compatible,error,crop_path,crop_crop_index,crop_top,crop_left,crop_height,crop_width,crop_compatible_country_count,crop_compatible_countries,crop_informativeness_bits,crop_informativeness_label,allowed_countries,country_pool,image_detail,temperature,top_p,max_tokens,seed
bahamas__idx201__t10_l11_h04_w06,gpt-4o,3,openai,Bahamas,Ukraine,The flag has horizontal stripes of blue and yellow.,True,False,False,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx201__t10_l11_h04_w06.png,201,10,11,4,6,1,"[""Bahamas""]",4.807354922057604,unique,"[""Sudan"", ""Guinea"", ""Ukraine"", ""Austria"", ""Palestine"", ""Mali"", ""Bahamas"", ""Germany"", ""Italy"", ""Sierra Leone"", ""Yemen"", ""Cote d'Ivoire"", ""Bulgaria"", ""Ireland"", ""Netherlands"", ""France"", ""Peru"", ""Czech Republic"", ""Lithuania"", ""Nigeria"", ""Gabon"", ""Estonia"", ""Hungary"", ""Armenia"", ""Luxembourg"", ""Chad"", ""Belgium"", ""Russia""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,889879896
bahamas__idx201__t10_l11_h04_w06,gpt-5.4,3,openai,Bahamas,Ukraine,"The crop shows two horizontal bands with yellow on top and blue on the bottom, matching the flag of Ukraine.",True,False,False,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx201__t10_l11_h04_w06.png,201,10,11,4,6,1,"[""Bahamas""]",4.807354922057604,unique,"[""Sudan"", ""Guinea"", ""Ukraine"", ""Austria"", ""Palestine"", ""Mali"", ""Bahamas"", ""Germany"", ""Italy"", ""Sierra Leone"", ""Yemen"", ""Cote d'Ivoire"", ""Bulgaria"", ""Ireland"", ""Netherlands"", ""France"", ""Peru"", ""Czech Republic"", ""Lithuania"", ""Nigeria"", ""Gabon"", ""Estonia"", ""Hungary"", ""Armenia"", ""Luxembourg"", ""Chad"", ""Belgium"", ""Russia""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,889879896
bahamas__idx223__t11_l14_h04_w06,gpt-4o,3,openai,Bahamas,Bahamas,The light blue color is prominent in the Bahamas flag.,True,True,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx223__t11_l14_h04_w06.png,223,11,14,4,6,2,"[""Luxembourg"", ""Bahamas""]",3.807354922057604,narrow,"[""Guinea"", ""Gabon"", ""Russia"", ""Estonia"", ""Sudan"", ""Italy"", ""Chad"", ""Sierra Leone"", ""Peru"", ""Yemen"", ""Bahamas"", ""Lithuania"", ""Bulgaria"", ""Nigeria"", ""Austria"", ""Czech Republic"", ""Palestine"", ""Cote d'Ivoire"", ""Ireland"", ""France"", ""Netherlands"", ""Germany"", ""Belgium"", ""Mali"", ""Armenia"", ""Luxembourg"", ""Hungary"", ""Ukraine""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,488408837
bahamas__idx223__t11_l14_h04_w06,gpt-5.4,3,openai,Bahamas,Luxembourg,"The crop shows a light blue horizontal band, which best matches the bottom stripe of Luxembourg's red-white-light blue flag.",True,False,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx223__t11_l14_h04_w06.png,223,11,14,4,6,2,"[""Luxembourg"", ""Bahamas""]",3.807354922057604,narrow,"[""Guinea"", ""Gabon"", ""Russia"", ""Estonia"", ""Sudan"", ""Italy"", ""Chad"", ""Sierra Leone"", ""Peru"", ""Yemen"", ""Bahamas"", ""Lithuania"", ""Bulgaria"", ""Nigeria"", ""Austria"", ""Czech Republic"", ""Palestine"", ""Cote d'Ivoire"", ""Ireland"", ""France"", ""Netherlands"", ""Germany"", ""Belgium"", ""Mali"", ""Armenia"", ""Luxembourg"", ""Hungary"", ""Ukraine""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,488408837
bahamas__idx234__t12_l06_h04_w06,gpt-4o,3,openai,Bahamas,Ukraine,The light blue color is a prominent feature of the Ukrainian flag.,True,False,False,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx234__t12_l06_h04_w06.png,234,12,6,4,6,2,"[""Luxembourg"", ""Bahamas""]",3.807354922057604,narrow,"[""Austria"", ""Luxembourg"", ""France"", ""Armenia"", ""Bahamas"", ""Palestine"", ""Sierra Leone"", ""Ireland"", ""Netherlands"", ""Germany"", ""Ukraine"", ""Peru"", ""Hungary"", ""Czech Republic"", ""Gabon"", ""Mali"", ""Italy"", ""Chad"", ""Bulgaria"", ""Sudan"", ""Russia"", ""Estonia"", ""Belgium"", ""Yemen"", ""Lithuania"", ""Nigeria"", ""Cote d'Ivoire"", ""Guinea""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,1007628398
bahamas__idx234__t12_l06_h04_w06,gpt-5.4,3,openai,Bahamas,Ukraine,"The crop shows a light blue horizontal band over a lighter lower band, matching the blue-over-yellow layout of Ukraine.",True,False,False,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx234__t12_l06_h04_w06.png,234,12,6,4,6,2,"[""Luxembourg"", ""Bahamas""]",3.807354922057604,narrow,"[""Austria"", ""Luxembourg"", ""France"", ""Armenia"", ""Bahamas"", ""Palestine"", ""Sierra Leone"", ""Ireland"", ""Netherlands"", ""Germany"", ""Ukraine"", ""Peru"", ""Hungary"", ""Czech Republic"", ""Gabon"", ""Mali"", ""Italy"", ""Chad"", ""Bulgaria"", ""Sudan"", ""Russia"", ""Estonia"", ""Belgium"", ""Yemen"", ""Lithuania"", ""Nigeria"", ""Cote d'Ivoire"", ""Guinea""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,1007628398
bahamas__idx241__t12_l13_h04_w06,gpt-4o,3,openai,Bahamas,Bahamas,The light blue color is prominent in the Bahamas flag.,True,True,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx241__t12_l13_h04_w06.png,241,12,13,4,6,2,"[""Luxembourg"", ""Bahamas""]",3.807354922057604,narrow,"[""Italy"", ""Netherlands"", ""Lithuania"", ""Estonia"", ""Palestine"", ""Armenia"", ""Cote d'Ivoire"", ""Mali"", ""Bulgaria"", ""Russia"", ""Belgium"", ""Yemen"", ""Sierra Leone"", ""Ireland"", ""Czech Republic"", ""Ukraine"", ""Germany"", ""Luxembourg"", ""Bahamas"", ""Austria"", ""Sudan"", ""Hungary"", ""Guinea"", ""France"", ""Nigeria"", ""Gabon"", ""Chad"", ""Peru""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,563489043
bahamas__idx241__t12_l13_h04_w06,gpt-5.4,3,openai,Bahamas,Ukraine,"The crop shows a light blue horizontal band, which most strongly matches the top half of Ukraine's blue-over-yellow flag.",True,False,False,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx241__t12_l13_h04_w06.png,241,12,13,4,6,2,"[""Luxembourg"", ""Bahamas""]",3.807354922057604,narrow,"[""Italy"", ""Netherlands"", ""Lithuania"", ""Estonia"", ""Palestine"", ""Armenia"", ""Cote d'Ivoire"", ""Mali"", ""Bulgaria"", ""Russia"", ""Belgium"", ""Yemen"", ""Sierra Leone"", ""Ireland"", ""Czech Republic"", ""Ukraine"", ""Germany"", ""Luxembourg"", ""Bahamas"", ""Austria"", ""Sudan"", ""Hungary"", ""Guinea"", ""France"", ""Nigeria"", ""Gabon"", ""Chad"", ""Peru""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,563489043
czech_republic__idx007__t00_l07_h04_w06,gpt-4o,3,openai,Czech Republic,France,"The flag has a vertical blue stripe, which is part of the French flag.",True,False,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx007__t00_l07_h04_w06.png,7,0,7,4,6,18,"[""Austria"", ""Bulgaria"", ""Cote d'Ivoire"", ""Estonia"", ""France"", ""Hungary"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Nigeria"", ""Peru"", ""Russia"", ""Sierra Leone"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]",0.6374299206152918,ambiguous,"[""Czech Republic"", ""Netherlands"", ""Palestine"", ""Austria"", ""Sierra Leone"", ""Peru"", ""Russia"", ""Ukraine"", ""Hungary"", ""Italy"", ""Belgium"", ""Sudan"", ""Ireland"", ""Guinea"", ""Bahamas"", ""Nigeria"", ""Chad"", ""France"", ""Bulgaria"", ""Mali"", ""Germany"", ""Gabon"", ""Lithuania"", ""Cote d'Ivoire"", ""Armenia"", ""Estonia"", ""Luxembourg"", ""Yemen""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,1432237921
czech_republic__idx007__t00_l07_h04_w06,gpt-5.4,3,openai,Czech Republic,Austria,"The crop shows a plain white horizontal band, which matches the central stripe of Austria's red-white-red flag.",True,False,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx007__t00_l07_h04_w06.png,7,0,7,4,6,18,"[""Austria"", ""Bulgaria"", ""Cote d'Ivoire"", ""Estonia"", ""France"", ""Hungary"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Nigeria"", ""Peru"", ""Russia"", ""Sierra Leone"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]",0.6374299206152918,ambiguous,"[""Czech Republic"", ""Netherlands"", ""Palestine"", ""Austria"", ""Sierra Leone"", ""Peru"", ""Russia"", ""Ukraine"", ""Hungary"", ""Italy"", ""Belgium"", ""Sudan"", ""Ireland"", ""Guinea"", ""Bahamas"", ""Nigeria"", ""Chad"", ""France"", ""Bulgaria"", ""Mali"", ""Germany"", ""Gabon"", ""Lithuania"", ""Cote d'Ivoire"", ""Armenia"", ""Estonia"", ""Luxembourg"", ""Yemen""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,1432237921
czech_republic__idx043__t02_l05_h04_w06,gpt-4o,3,openai,Czech Republic,Czech Republic,"The flag has a blue triangle on the left side, which matches the Czech Republic flag.",True,True,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx043__t02_l05_h04_w06.png,43,2,5,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Czech Republic"", ""Luxembourg"", ""Hungary"", ""Chad"", ""Peru"", ""Ireland"", ""Bulgaria"", ""Austria"", ""Armenia"", ""Lithuania"", ""Gabon"", ""Ukraine"", ""Belgium"", ""Bahamas"", ""Russia"", ""Estonia"", ""Italy"", ""Palestine"", ""Sudan"", ""Mali"", ""Nigeria"", ""Netherlands"", ""Sierra Leone"", ""Cote d'Ivoire"", ""Guinea"", ""Germany"", ""France"", ""Yemen""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,661283293
czech_republic__idx043__t02_l05_h04_w06,gpt-5.4,3,openai,Czech Republic,Czech Republic,"The crop shows a blue triangular wedge at the hoist with white above, matching the Czech Republic flag.",True,True,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx043__t02_l05_h04_w06.png,43,2,5,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Czech Republic"", ""Luxembourg"", ""Hungary"", ""Chad"", ""Peru"", ""Ireland"", ""Bulgaria"", ""Austria"", ""Armenia"", ""Lithuania"", ""Gabon"", ""Ukraine"", ""Belgium"", ""Bahamas"", ""Russia"", ""Estonia"", ""Italy"", ""Palestine"", ""Sudan"", ""Mali"", ""Nigeria"", ""Netherlands"", ""Sierra Leone"", ""Cote d'Ivoire"", ""Guinea"", ""Germany"", ""France"", ""Yemen""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,661283293
czech_republic__idx105__t05_l10_h04_w06,gpt-4o,3,openai,Czech Republic,Czech Republic,The flag has a blue triangle with white and red horizontal stripes.,True,True,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx105__t05_l10_h04_w06.png,105,5,10,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Italy"", ""Austria"", ""Palestine"", ""Ireland"", ""Ukraine"", ""Germany"", ""Russia"", ""Hungary"", ""Belgium"", ""Yemen"", ""Guinea"", ""Mali"", ""Luxembourg"", ""Bulgaria"", ""Armenia"", ""Sudan"", ""Estonia"", ""Bahamas"", ""Lithuania"", ""Peru"", ""Nigeria"", ""Czech Republic"", ""Sierra Leone"", ""France"", ""Cote d'Ivoire"", ""Chad"", ""Netherlands"", ""Gabon""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,538922049
czech_republic__idx105__t05_l10_h04_w06,gpt-5.4,3,openai,Czech Republic,Czech Republic,"The flag shows white over red horizontal bands with a blue triangle at the hoist, which matches the Czech Republic.",True,True,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx105__t05_l10_h04_w06.png,105,5,10,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Italy"", ""Austria"", ""Palestine"", ""Ireland"", ""Ukraine"", ""Germany"", ""Russia"", ""Hungary"", ""Belgium"", ""Yemen"", ""Guinea"", ""Mali"", ""Luxembourg"", ""Bulgaria"", ""Armenia"", ""Sudan"", ""Estonia"", ""Bahamas"", ""Lithuania"", ""Peru"", ""Nigeria"", ""Czech Republic"", ""Sierra Leone"", ""France"", ""Cote d'Ivoire"", ""Chad"", ""Netherlands"", ""Gabon""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,538922049
czech_republic__idx115__t06_l01_h04_w06,gpt-4o,3,openai,Czech Republic,Estonia,The flag of Estonia includes a blue stripe.,True,False,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx115__t06_l01_h04_w06.png,115,6,1,4,6,10,"[""Armenia"", ""Chad"", ""Estonia"", ""France"", ""Gabon"", ""Netherlands"", ""Russia"", ""Sierra Leone"", ""Ukraine"", ""Czech Republic""]",1.4854268271702418,ambiguous,"[""Austria"", ""Germany"", ""Guinea"", ""Ireland"", ""Cote d'Ivoire"", ""Netherlands"", ""Belgium"", ""Yemen"", ""Italy"", ""Nigeria"", ""Mali"", ""Russia"", ""Chad"", ""Hungary"", ""Estonia"", ""Bahamas"", ""Bulgaria"", ""Peru"", ""Ukraine"", ""Sierra Leone"", ""Czech Republic"", ""France"", ""Luxembourg"", ""Gabon"", ""Sudan"", ""Palestine"", ""Armenia"", ""Lithuania""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,2050880767
czech_republic__idx115__t06_l01_h04_w06,gpt-5.4,3,openai,Czech Republic,Ukraine,"The crop shows a simple horizontal bicolor with blue on top and yellow on the bottom, which matches Ukraine.",True,False,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx115__t06_l01_h04_w06.png,115,6,1,4,6,10,"[""Armenia"", ""Chad"", ""Estonia"", ""France"", ""Gabon"", ""Netherlands"", ""Russia"", ""Sierra Leone"", ""Ukraine"", ""Czech Republic""]",1.4854268271702418,ambiguous,"[""Austria"", ""Germany"", ""Guinea"", ""Ireland"", ""Cote d'Ivoire"", ""Netherlands"", ""Belgium"", ""Yemen"", ""Italy"", ""Nigeria"", ""Mali"", ""Russia"", ""Chad"", ""Hungary"", ""Estonia"", ""Bahamas"", ""Bulgaria"", ""Peru"", ""Ukraine"", ""Sierra Leone"", ""Czech Republic"", ""France"", ""Luxembourg"", ""Gabon"", ""Sudan"", ""Palestine"", ""Armenia"", ""Lithuania""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,2050880767
czech_republic__idx133__t07_l00_h04_w06,gpt-4o,3,openai,Czech Republic,Ukraine,"The flag of Ukraine has a blue stripe, which matches the color shown.",True,False,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx133__t07_l00_h04_w06.png,133,7,0,4,6,10,"[""Armenia"", ""Chad"", ""Estonia"", ""France"", ""Gabon"", ""Netherlands"", ""Russia"", ""Sierra Leone"", ""Ukraine"", ""Czech Republic""]",1.4854268271702418,ambiguous,"[""Belgium"", ""Sudan"", ""France"", ""Luxembourg"", ""Ukraine"", ""Ireland"", ""Mali"", ""Sierra Leone"", ""Estonia"", ""Czech Republic"", ""Germany"", ""Netherlands"", ""Bulgaria"", ""Chad"", ""Italy"", ""Nigeria"", ""Yemen"", ""Gabon"", ""Hungary"", ""Cote d'Ivoire"", ""Guinea"", ""Lithuania"", ""Armenia"", ""Palestine"", ""Austria"", ""Bahamas"", ""Russia"", ""Peru""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,1124299286
czech_republic__idx133__t07_l00_h04_w06,gpt-5.4,3,openai,Czech Republic,Ukraine,"The crop shows the top half of a blue-over-yellow horizontal bicolor, which matches Ukraine.",True,False,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx133__t07_l00_h04_w06.png,133,7,0,4,6,10,"[""Armenia"", ""Chad"", ""Estonia"", ""France"", ""Gabon"", ""Netherlands"", ""Russia"", ""Sierra Leone"", ""Ukraine"", ""Czech Republic""]",1.4854268271702418,ambiguous,"[""Belgium"", ""Sudan"", ""France"", ""Luxembourg"", ""Ukraine"", ""Ireland"", ""Mali"", ""Sierra Leone"", ""Estonia"", ""Czech Republic"", ""Germany"", ""Netherlands"", ""Bulgaria"", ""Chad"", ""Italy"", ""Nigeria"", ""Yemen"", ""Gabon"", ""Hungary"", ""Cote d'Ivoire"", ""Guinea"", ""Lithuania"", ""Armenia"", ""Palestine"", ""Austria"", ""Bahamas"", ""Russia"", ""Peru""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,1124299286
